role,index,window,target,predicted,residual,percent_error
CS03-Q0103,209,postfreeze-evaluation,410.51386919336665,378.17034744175163,-32.343521751615015,7.878789044367236
CS03-Q0103,210,postfreeze-evaluation,411.9722678042788,378.2146914984708,-33.75757630580796,8.19413803888509
CS03-Q0103,211,postfreeze-evaluation,413.26273607018504,378.6441192668228,-34.618616803362215,8.376902580803435
CS03-Q0103,212,postfreeze-evaluation,415.01880975515513,378.76274808510567,-36.25606167004946,8.736004445542871
CS03-Q0103,213,postfreeze-evaluation,415.4552149962946,383.7157656944111,-31.739449301883496,7.6396800801180405
CS03-Q0103,214,postfreeze-evaluation,418.3877057895348,383.88799112537237,-34.49971466416241,8.245871995463725
CS03-Q0103,215,postfreeze-evaluation,419.8613648181523,384.99522076467184,-34.86614405348047,8.304203952793197
CS03-Q0103,216,postfreeze-evaluation,420.6438276250418,386.9799565048767,-33.66387112016508,8.002939520171152
CS03-Q0103,217,postfreeze-evaluation,422.07671005882673,387.50603662952716,-34.570673429299575,8.190613839953715
CS03-Q0103,218,postfreeze-evaluation,423.7165796274818,391.5294584394485,-32.1871211880333,7.5963799236582155
CS03-Q0103,219,postfreeze-evaluation,425.06988249446135,399.29449990723765,-25.775382587223703,6.063798836079513
CS03-Q0103,220,postfreeze-evaluation,427.2088250840746,404.48294607855763,-22.72587900551696,5.319618339121274
CS03-Q0103,221,postfreeze-evaluation,428.12791407661666,404.8502787371853,-23.277635339431356,5.437074896094172
CS03-Q0103,222,postfreeze-evaluation,430.3287454309386,408.56140413925476,-21.767341291683863,5.058305196387861
CS03-Q0103,223,postfreeze-evaluation,431.3013069307036,413.14806281493475,-18.15324411576887,4.208947161545587
CS03-Q0103,224,postfreeze-evaluation,432.1386417345886,413.6569250343543,-18.4817167002343,4.276802608081835
CS03-Q0103,225,postfreeze-evaluation,433.88921848092724,416.2098916223275,-17.679326858599723,4.0746176916993075
CS03-Q0103,226,postfreeze-evaluation,436.16100643264696,418.9037152805909,-17.25729115205604,3.9566331922248428
CS03-Q0103,227,postfreeze-evaluation,437.5816981676686,431.09207416901336,-6.489623998655247,1.4830656825525212
CS03-Q0103,228,postfreeze-evaluation,438.6217386562722,437.4687085965756,-1.1530300596966185,0.2628757213969724
