control_type,control_id,N,s,z,E,degree,d0_residual,magnitude_min,magnitude_max,magnitude_range
inventory,primes,4,(1.5+0j),0.15,0.0024082667701520273,4,0.0,0.8977767847979843,0.9021113947386208,0.004334609940636502
inventory,primes,4,(1.5+0j),0.35,0.014528370839938845,4,0.0,0.7654113185115891,0.787979384619461,0.022568066107871987
inventory,primes,4,(1.5+0j),0.6,0.049066706555152044,4,0.0,0.6068669125524413,0.6694885154673123,0.06262160291487096
inventory,primes,4,(2+0j),0.15,0.0009271255218364148,4,0.0,0.9370301101911819,0.938769211588068,0.0017391013968861557
inventory,primes,4,(2+0j),0.35,0.005405655574197876,4,0.0,0.8539183829292643,0.863200531492583,0.00928214856331877
inventory,primes,4,(2+0j),0.6,0.017390138671352726,4,0.0,0.751515855395437,0.7781162343782683,0.026600378982831296
inventory,primes,4,(1.5+0.75j),0.15,0.002174928851525071,4,0.0,0.9286155771632858,0.9326637259134157,0.004048148750129932
inventory,primes,4,(1.5+0.75j),0.35,0.012856290500142312,4,0.0,0.8332957937836911,0.855000804351994,0.021705010568302874
inventory,primes,4,(1.5+0.75j),0.6,0.042017115362323484,4,0.0,0.7141796693702978,0.7768245907745611,0.06264492140426337
inventory,composites,4,(1.25+0j),0.15,0.0007703086878502192,4,0.0,0.93741609646832,0.9388614092535128,0.001445312785192776
inventory,composites,4,(1.25+0j),0.35,0.004405428227392312,4,0.0,0.8561301491497645,0.8637067539245912,0.00757660477482669
inventory,composites,4,(1.25+0j),0.6,0.013798604990249362,4,0.0,0.7581310327899867,0.7793457084358822,0.02121467564589552
inventory,composites,4,(1.5+0j),0.15,0.000325462148041527,4,0.0,0.9591244844754009,0.9597490051578986,0.0006245206824977423
inventory,composites,4,(1.5+0j),0.35,0.0018319157986986614,4,0.0,0.9054634014478719,0.9087869544606934,0.0033235530128215007
inventory,composites,4,(1.5+0j),0.6,0.005618173333132394,4,0.0,0.8397743884976174,0.8492636738823904,0.009489285384773005
inventory,composites,4,(2+0j),0.15,6.155667914574053e-05,4,0.0,0.9823022564197995,0.9824231983942054,0.00012094197440593035
inventory,composites,4,(2+0j),0.35,0.0003404575858158968,4,0.0,0.9588293030991684,0.9594824068686048,0.0006531037694363917
inventory,composites,4,(2+0j),0.6,0.001020658325564792,4,0.0,0.9296903962329509,0.9315901275875619,0.0018997313546109673
inventory,composites,4,(1.5+0.75j),0.15,0.0002979391408194184,4,0.0,0.9885015053039768,0.9890907063376289,0.0005892010336520093
inventory,composites,4,(1.5+0.75j),0.35,0.0016439027390378802,4,0.0,0.9729895692704049,0.9761937789316619,0.003204209661257007
inventory,composites,4,(1.5+0.75j),0.6,0.004909594420011679,4,0.0,0.9533197190070847,0.9627265550320696,0.009406836024984933
inventory,shuffled_primes,4,(1.25+0j),0.15,6.657519152139793e-07,4,0.0,0.9983020178927025,0.9983033471365481,1.329243845660244e-06
inventory,shuffled_primes,4,(1.25+0j),0.35,3.632182982584981e-06,4,0.0,0.996037475403379,0.9960447110103963,7.235607017319623e-06
inventory,shuffled_primes,4,(1.25+0j),0.6,1.0701961179660391e-05,4,0.0,0.99320588830123,0.9932271470304601,2.12587292300892e-05
inventory,shuffled_primes,4,(1.5+0j),0.15,9.098830801039029e-08,4,0.0,0.9993827253262527,0.9993829071905557,1.8186430295052958e-07
inventory,shuffled_primes,4,(1.5+0j),0.35,4.95770203610724e-07,4,0.0,0.9985595548968356,0.9985605450094741,9.901126385436498e-07
inventory,shuffled_primes,4,(1.5+0j),0.6,1.4583901538768464e-06,4,0.0,0.9975303708648927,0.9975332804460783,2.9095811855395226e-06
inventory,shuffled_primes,4,(2+0j),0.15,1.8626573664272675e-09,4,0.0,0.9999130839951019,0.9999130877200929,3.724990982334475e-09
inventory,shuffled_primes,4,(2+0j),0.35,1.0142295002942358e-08,4,0.0,0.9997971916679901,0.9997972119484665,2.0280476409340054e-08
inventory,shuffled_primes,4,(2+0j),0.6,2.981019209955296e-08,4,0.0,0.9996523193153435,0.9996523789150007,5.95996572094748e-08
inventory,shuffled_primes,4,(1.5+0.75j),0.15,7.984066659702579e-08,4,0.0,1.0005521264581418,1.000552286227018,1.5976887612900725e-07
inventory,shuffled_primes,4,(1.5+0.75j),0.35,4.3436579792228086e-07,4,0.0,1.0012881674741618,1.0012890373213097,8.698471478663095e-07
inventory,shuffled_primes,4,(1.5+0.75j),0.6,1.2753214105684322e-06,4,0.0,1.002208013569291,1.0022105698340258,2.5562647347765477e-06
inventory,random_increasing,4,(1.25+0j),0.15,4.8073398652948176e-05,4,0.0,0.9848356783211452,0.9849303716697155,9.469334857037381e-05
inventory,random_increasing,4,(1.25+0j),0.35,0.0002662250020611802,4,0.0,0.9646242027513133,0.9651379536847667,0.0005137509334534052
inventory,random_increasing,4,(1.25+0j),0.6,0.0007994646467586851,4,0.0,0.9393734584213355,0.9408766518954829,0.0015031934741474018
inventory,random_increasing,4,(1.5+0j),0.15,1.4855489795068455e-05,4,0.0,0.9917719897639962,0.9918014567190881,2.9466955091983493e-05
inventory,random_increasing,4,(1.5+0j),0.35,8.168065189801927e-05,4,0.0,0.9807907210701233,0.9809509574092691,0.0001602363391457473
inventory,random_increasing,4,(1.5+0j),0.6,0.0002430434679933086,4,0.0,0.9670472866055687,0.9675174699328485,0.00047018332727977175
inventory,random_increasing,4,(2+0j),0.15,1.5932271121517796e-06,4,0.0,0.9973987139936588,0.9974018921640678,3.178170409068315e-06
inventory,random_increasing,4,(2+0j),0.35,8.70319537351427e-06,4,0.0,0.9939273133031287,0.9939446141408906,1.730083776196878e-05
inventory,random_increasing,4,(2+0j),0.6,2.5683875083733914e-05,4,0.0,0.9895832126040411,0.9896340465728894,5.0833968848307265e-05
inventory,random_increasing,4,(1.5+0.75j),0.15,1.2570914283665627e-05,4,0.0,1.0013725633648243,1.001397739883779,2.5176518954728166e-05
inventory,random_increasing,4,(1.5+0.75j),0.35,6.8392651878427e-05,4,0.0,1.0032341234986728,1.0033713582175277,0.0001372347188548506
inventory,random_increasing,4,(1.5+0.75j),0.6,0.00020078885828141166,4,0.0,1.0056120639655166,1.0060159691549238,0.0004039051894071388
inventory,primes,8,(1.25+0j),0.15,0.004211748087699825,8,0.0,0.8492706702053597,0.8564547442267233,0.007184074021363562
inventory,primes,8,(1.25+0j),0.35,0.025904995838612572,8,0.0,0.6647671916191883,0.7001226252462464,0.035355433627058064
inventory,primes,8,(1.25+0j),0.6,0.09014397027123831,8,0.0,0.4607394611587163,0.5519721302300302,0.09123266907131394
inventory,primes,8,(1.5+0j),0.15,0.0024705516543093824,8,0.0,0.8876510695831142,0.892047906206025,0.004396836622910794
inventory,primes,8,(1.5+0j),0.35,0.014872007387234142,8,0.0,0.7452305444660505,0.7677310382570592,0.022500493791008713
inventory,primes,8,(1.5+0j),0.6,0.05009372616227836,8,0.0,0.5793731144890049,0.6404717730166938,0.06109865852768892
inventory,primes,8,(2+0j),0.15,0.0009336174810623967,8,0.0,0.9341581534655711,0.9359040762150789,0.0017459227495078
inventory,primes,8,(2+0j),0.35,0.005441170863111165,8,0.0,0.8478030761078333,0.8570796275540059,0.009276551446172565
inventory,primes,8,(2+0j),0.6,0.01749514169821396,8,0.0,0.7422736186210417,0.7687082784035333,0.0264346597824916
inventory,primes,8,(1.5+0.75j),0.15,0.0021536241997801666,8,0.0,0.9325913872438786,0.9366169591948256,0.004025571950946993
inventory,primes,8,(1.5+0.75j),0.35,0.012752755762611999,8,0.0,0.8417236748741191,0.8634692871030911,0.021745612228971978
