n_atoms,base_word_length,group_order,base_primitive_necklaces,mixed_base_primitive_necklaces,base_necklaces_closing_after_one_traversal,mixed_members_closing_after_one_traversal,lifted_primitive_cycles_total,base_necklace_q_distribution_json,degree_distribution_sha256
3,3,8,112,112,3,3,240,"{""1"": 3, ""2"": 27, ""4"": 26, ""8"": 56}",2f39af6f04cc4b38e94a649ff6d94957f5121e9e391a27f33ea7e8981832585f
3,4,2,588,588,288,288,876,"{""1"": 288, ""2"": 300}",4621967957bdeeef929a30a101c71229755fec06a9badc5c043cf65875b1903b
3,4,3,588,588,198,198,984,"{""1"": 198, ""3"": 390}",4621967957bdeeef929a30a101c71229755fec06a9badc5c043cf65875b1903b
3,4,4,588,588,129,129,1134,"{""1"": 129, ""2"": 159, ""4"": 300}",4621967957bdeeef929a30a101c71229755fec06a9badc5c043cf65875b1903b
3,4,5,588,588,96,96,972,"{""1"": 96, ""5"": 492}",4621967957bdeeef929a30a101c71229755fec06a9badc5c043cf65875b1903b
3,4,6,588,588,144,144,1560,"{""1"": 144, ""2"": 54, ""3"": 144, ""6"": 246}",4621967957bdeeef929a30a101c71229755fec06a9badc5c043cf65875b1903b
3,4,7,588,588,162,162,1560,"{""1"": 162, ""7"": 426}",4621967957bdeeef929a30a101c71229755fec06a9badc5c043cf65875b1903b
3,4,8,588,588,111,111,1578,"{""1"": 111, ""2"": 18, ""4"": 159, ""8"": 300}",4621967957bdeeef929a30a101c71229755fec06a9badc5c043cf65875b1903b
3,5,2,3360,3360,1680,1680,5040,"{""1"": 1680, ""2"": 1680}",61887261d442ca40d303c3251b08447664f39a8169d48ad011e4e89eaa8ad90c
3,5,3,3360,3360,1116,1116,5592,"{""1"": 1116, ""3"": 2244}",61887261d442ca40d303c3251b08447664f39a8169d48ad011e4e89eaa8ad90c
3,5,4,3360,3360,900,900,6840,"{""1"": 900, ""2"": 780, ""4"": 1680}",61887261d442ca40d303c3251b08447664f39a8169d48ad011e4e89eaa8ad90c
3,5,5,3360,3360,582,582,5688,"{""1"": 582, ""5"": 2778}",61887261d442ca40d303c3251b08447664f39a8169d48ad011e4e89eaa8ad90c
3,5,6,3360,3360,333,333,7938,"{""1"": 333, ""2"": 783, ""3"": 1347, ""6"": 897}",61887261d442ca40d303c3251b08447664f39a8169d48ad011e4e89eaa8ad90c
3,5,7,3360,3360,570,570,6780,"{""1"": 570, ""7"": 2790}",61887261d442ca40d303c3251b08447664f39a8169d48ad011e4e89eaa8ad90c
3,5,8,3360,3360,810,810,10080,"{""1"": 810, ""2"": 90, ""4"": 780, ""8"": 1680}",61887261d442ca40d303c3251b08447664f39a8169d48ad011e4e89eaa8ad90c
3,6,2,19544,19544,9744,9744,29288,"{""1"": 9744, ""2"": 9800}",9496f71f5fd5dcdeb1d0c72cfd6dfce4f1da9907c9dd9af0446bddaf733b5f79
3,6,3,19544,19544,6518,6518,32580,"{""1"": 6518, ""3"": 13026}",9496f71f5fd5dcdeb1d0c72cfd6dfce4f1da9907c9dd9af0446bddaf733b5f79
3,6,4,19544,19544,4702,4702,38692,"{""1"": 4702, ""2"": 5042, ""4"": 9800}",9496f71f5fd5dcdeb1d0c72cfd6dfce4f1da9907c9dd9af0446bddaf733b5f79
