schema_version,row_id,row_family,case_kind,action_case,comparison_case,subset_u,subset_v,arrow_open,subject_value,oracle_value,record_equal,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,AO-0106,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,0|3,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0107,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,1|3,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0108,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,0|1|3,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0109,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,2|3,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0110,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,0|2|3,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0111,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,1|2|3,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0112,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,0|1|2|3,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0113,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,EMPTY,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0114,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,0,,0,0,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0115,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,1,,1,1,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0116,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,0|1,,0|1,0|1,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0117,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,2,,2,2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0118,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,0|2,,0|2,0|2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0119,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,1|2,,1|2,1|2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0120,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,0|1|2,,0|1|2,0|1|2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0121,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,3,,3,3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0122,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,0|3,,0|3,0|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0123,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,1|3,,1|3,1|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0124,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,0|1|3,,0|1|3,0|1|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0125,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,2|3,,2|3,2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0126,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,0|2|3,,0|2|3,0|2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0127,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,1|2|3,,1|2|3,1|2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0128,PRODUCT,DIAGNOSTIC,TRIVIAL,,0,0|1|2|3,,0|1|2|3,0|1|2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0129,PRODUCT,DIAGNOSTIC,TRIVIAL,,1,EMPTY,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0130,PRODUCT,DIAGNOSTIC,TRIVIAL,,1,0,,1,1,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0131,PRODUCT,DIAGNOSTIC,TRIVIAL,,1,1,,2,2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0132,PRODUCT,DIAGNOSTIC,TRIVIAL,,1,0|1,,1|2,1|2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0133,PRODUCT,DIAGNOSTIC,TRIVIAL,,1,2,,3,3,,,,C4_BITSET_OPEN_QUANTALE,PASS
