n,mu,euler,homology_supertrace,boundary_squared_zero,betti_matches_sphere_or_acyclic,simplex_count_including_empty,boundary_incidence_count,max_chain_dimension,chain_dimensions,boundary_ranks_gf2,betti_gf2
154,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
155,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
156,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
157,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
158,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
159,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
160,0,0,0,True,True,112,320,4,"{""-1"": 1, ""0"": 10, ""1"": 30, ""2"": 40, ""3"": 25, ""4"": 6}","{""0"": 1, ""1"": 9, ""2"": 21, ""3"": 19, ""4"": 6}",{}
161,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
162,0,0,0,True,True,48,112,3,"{""-1"": 1, ""0"": 8, ""1"": 18, ""2"": 16, ""3"": 5}","{""0"": 1, ""1"": 7, ""2"": 11, ""3"": 5}",{}
163,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
164,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
165,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
166,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
167,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
