atom_cutoff,atom_count,point,sigma,t,q,sector,partial_norm,infinite_limit_status
127,31,critical_imag,0.5,1.0,2,relative_ratio_minus_identity,8.791285168809752,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,critical_imag,0.5,1.0,4,L_s,0.8194604193727303,S_q
127,31,critical_imag,0.5,1.0,4,L_1_minus_s,0.8194604193727303,S_q
127,31,critical_imag,0.5,1.0,4,difference,1.2860638088031489,S_q_BY_TRIANGLE
127,31,critical_imag,0.5,1.0,4,relative_ratio_minus_identity,3.988407717926648,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,right_strip,0.75,0.0,1,L_s,3.1862708948377354,DIVERGENT_INFINITE_LIMIT
127,31,right_strip,0.75,0.0,1,L_1_minus_s,13.106593470989031,DIVERGENT_INFINITE_LIMIT
127,31,right_strip,0.75,0.0,1,difference,9.920322576151296,NO_COMMON_S_q_CERTIFICATE
127,31,right_strip,0.75,0.0,1,relative_ratio_minus_identity,182.1712110231617,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,right_strip,0.75,0.0,2,L_s,0.9071535162990958,S_q
127,31,right_strip,0.75,0.0,2,L_1_minus_s,2.4717974258912476,DIVERGENT_INFINITE_LIMIT
127,31,right_strip,0.75,0.0,2,difference,1.793702539323041,NO_COMMON_S_q_CERTIFICATE
127,31,right_strip,0.75,0.0,2,relative_ratio_minus_identity,36.39584561393892,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,right_strip,0.75,0.0,4,L_s,0.6465598616031483,S_q
127,31,right_strip,0.75,0.0,4,L_1_minus_s,1.1674604515066687,DIVERGENT_INFINITE_LIMIT
127,31,right_strip,0.75,0.0,4,difference,0.7702109346540047,NO_COMMON_S_q_CERTIFICATE
127,31,right_strip,0.75,0.0,4,relative_ratio_minus_identity,17.223761437612946,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,right_outer,1.25,0.0,1,L_s,1.191984189729172,S_q
127,31,right_outer,1.25,0.0,1,L_1_minus_s,79.09273315293854,DIVERGENT_INFINITE_LIMIT
127,31,right_outer,1.25,0.0,1,difference,77.90074896320937,NO_COMMON_S_q_CERTIFICATE
127,31,right_outer,1.25,0.0,1,relative_ratio_minus_identity,15050.592768923907,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,right_outer,1.25,0.0,2,L_s,0.5230677333834456,S_q
127,31,right_outer,1.25,0.0,2,L_1_minus_s,14.600383934101243,DIVERGENT_INFINITE_LIMIT
127,31,right_outer,1.25,0.0,2,difference,14.482039554553982,NO_COMMON_S_q_CERTIFICATE
127,31,right_outer,1.25,0.0,2,relative_ratio_minus_identity,3577.8062852063626,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,right_outer,1.25,0.0,4,L_s,0.43484476709627756,S_q
127,31,right_outer,1.25,0.0,4,L_1_minus_s,6.439944309282142,DIVERGENT_INFINITE_LIMIT
127,31,right_outer,1.25,0.0,4,difference,6.4191030843946635,NO_COMMON_S_q_CERTIFICATE
127,31,right_outer,1.25,0.0,4,relative_ratio_minus_identity,1936.8035094801844,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,left_outer,-0.25,0.0,1,L_s,168.1475585731829,DIVERGENT_INFINITE_LIMIT
