vertex_count,mask,first,second,strict_external_witness_exists,minimal_repair
4,4693,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4700,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4701,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4701,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4725,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4732,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4733,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4733,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4778,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4779,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4780,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4781,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4782,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4783,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4805,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4810,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4811,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4812,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4813,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4813,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4814,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4815,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4821,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4828,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4829,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4829,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4837,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4842,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4842,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4843,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4843,0>3;3>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
