control,n,sigma,t,empirical_re,empirical_im,completed_gamma_target_re,completed_gamma_target_im,native_dimension,native_radial_target_re,native_radial_target_im,relative_error,native_radial_relative_error
fair_F2,127,1.0,6.0,0.07003047589683861,-0.20257896302478828,-0.012702407914335976,-0.00021878589380265343,1,-0.012702407914335988,-0.00021878589380265365,17.20829772020163,17.208297720201614
fair_F2,127,1.0,12.0,-0.20248534364719656,-0.2926608808164539,-5.868335392333621e-05,-9.788303348623909e-05,1,-5.868335392333621e-05,-9.788303348623909e-05,3117.3019501692233,3117.3019501692233
fair_F2,127,1.5,0.0,0.5218532691296084,0.0,0.5193036689589141,0.0,1,0.5193036689589142,0.0,0.004909651756949159,0.004909651756948945
fair_F2,127,1.5,2.0,-0.030253100610160753,-0.2251922663237672,-0.03734735441642855,-0.2155221141113438,1,-0.037347354416428565,-0.21552211411134387,0.05483069710653699,0.05483069710653681
fair_F2,127,1.5,6.0,0.005308247434436593,-0.051529385944694195,-0.011559917380324742,-0.004879510315897615,1,-0.011559917380324742,-0.004879510315897615,3.9534298311009124,3.9534298311009124
fair_F2,127,1.5,12.0,-0.05923588894890165,-0.08533630621357065,-2.0388338117314626e-05,-0.00013257629053293161,1,-2.0388338117314626e-05,-0.00013257629053293161,773.5504047411442,773.5504047411442
fair_F2,127,2.0,0.0,0.3189370910923468,0.0,0.3183098861837907,0.0,1,0.31830988618379075,0.0,0.001970422333015338,0.001970422333015163
fair_F2,127,2.0,2.0,0.021253826736623016,-0.1670799112239012,0.020603838677028995,-0.16473550821746696,1,0.020603838677029,-0.16473550821746702,0.014653985400623671,0.014653985400623331
fair_F2,127,2.0,6.0,-0.005915084143911335,-0.020025466129178576,-0.008992170836832014,-0.008559532122861287,1,-0.008992170836832014,-0.008559532122861287,0.9562577615903995,0.9562577615903995
fair_F2,127,2.0,12.0,-0.019729133856206255,-0.026346418101117097,3.5106855416458105e-05,-0.0001537630992552455,1,3.5106855416458105e-05,-0.0001537630992552455,208.0447571588187,208.0447571588187
fair_F2,127,3.0,0.0,0.15915494309189432,0.0,0.15915494309189507,0.0,1,0.15915494309189512,0.0,4.708622472311661e-15,5.057409322112523e-15
fair_F2,127,3.0,2.0,0.057013114849591554,-0.08796863222541912,0.05712625805579406,-0.08753513972545902,1,0.05712625805579406,-0.08753513972545902,0.004286130592334872,0.004286130592334872
fair_F2,127,3.0,6.0,-0.0019298164993174329,-0.013180414582440386,-0.0018127258698713616,-0.012164726908894578,1,-0.0018127258698713616,-0.012164726908894578,0.08312958145454256,0.08312958145454256
fair_F2,127,3.0,12.0,-0.0026128485261866976,-0.0027642238943939752,0.00017760307763586375,-0.000127655518873486,1,0.00017760307763586375,-0.000127655518873486,17.552172209352598,17.552172209352598
biased_F2_p_0.3_centered_variance_normalized,127,0.25,0.0,5.867298609445254,0.0,6.529478786631148,0.0,1,6.529478786631151,0.0,0.10141394111604769,0.10141394111604818
biased_F2_p_0.3_centered_variance_normalized,127,0.25,2.0,-3.339019494437494,1.3273958593905204,-0.42350573011318954,-0.16788114598323828,1,-0.42350573011318954,-0.16788114598323828,7.192346488541453,7.192346488541453
biased_F2_p_0.3_centered_variance_normalized,127,0.25,6.0,-2.6297898996054623,2.425252813385034,-0.010709747565107109,0.00725523954933623,1,-0.010709747565107109,0.00725523954933623,275.5581077743408,275.5581077743408
biased_F2_p_0.3_centered_variance_normalized,127,0.25,12.0,-0.6738309112632198,-2.303277448455595,-8.140533749949723e-05,-3.732818018299887e-05,1,-8.140533749949723e-05,-3.732818018299887e-05,26796.299193017145,26796.299193017145
biased_F2_p_0.3_centered_variance_normalized,127,0.5,0.0,2.7909191448059376,0.0,2.7232882163306718,0.0,1,2.7232882163306718,0.0,0.024834289690567904,0.024834289690567904
biased_F2_p_0.3_centered_variance_normalized,127,0.5,2.0,-1.213626071149681,0.31159712404571843,-0.3225735154575873,-0.22819168658441463,1,-0.3225735154575873,-0.22819168658441463,2.636621794604237,2.636621794604237
biased_F2_p_0.3_centered_variance_normalized,127,0.5,6.0,-0.9652280732383246,0.7568961563884412,-0.011916643170136196,0.004842505907298266,1,-0.011916643170136196,0.004842505907298266,94.39830931298546,94.39830931298546
biased_F2_p_0.3_centered_variance_normalized,127,0.5,12.0,-0.22526450261480235,-0.49413644314155963,-7.830052174713392e-05,-5.742749343687102e-05,1,-7.830052174713392e-05,-5.742749343687102e-05,5591.783542383203,5591.783542383203
biased_F2_p_0.3_centered_variance_normalized,127,1.0,0.0,1.0,0.0,0.9999999999999986,0.0,1,0.9999999999999987,0.0,1.4432899320127057e-15,1.3322676295501896e-15
biased_F2_p_0.3_centered_variance_normalized,127,1.0,2.0,-0.23438783341200564,-0.17631785885256326,-0.1482128284599034,-0.25357384686510887,1,-0.1482128284599034,-0.25357384686510887,0.3940428903973073,0.3940428903973073
