prime_cutoff,prime_count,sigma,repetition_cutoff,tau_Log_D_partial,log_Z_partial,tau_Log_D,log_Z,nonnegative_log_Z_tail,D,Z,compiled_D,compiled_Z,sign_residual,reciprocal_residual,D_product_residual,Z_product_residual,domain
499,95,1.25,32,-1.433956249710395,1.433956249710395,-1.4339562497104146,1.4339562497104146,1.9539925233402755e-14,0.23836402674315479,4.1952639148756008,0.23836402674315493,4.1952639148755981,0,0,1.3877787807814457e-16,2.6645352591003757e-15,finite-prime positive-real control
499,95,2,1,-0.45197419159788843,0.45197419159788843,-0.49742707383503521,0.49742707383503521,0.045452882237146774,0.60809322764080498,1.644484685152078,0.60809322764080498,1.6444846851520765,0,0,0,1.5543122344752192e-15,finite-prime positive-real control
499,95,2,2,-0.49047076128747913,0.49047076128747913,-0.49742707383503521,0.49742707383503521,0.0069563125475560761,0.60809322764080498,1.644484685152078,0.60809322764080498,1.6444846851520765,0,0,0,1.5543122344752192e-15,finite-prime positive-real control
499,95,2,4,-0.49717614157932044,0.49717614157932044,-0.49742707383503521,0.49742707383503521,0.00025093225571476419,0.60809322764080498,1.644484685152078,0.60809322764080498,1.6444846851520765,0,0,0,1.5543122344752192e-15,finite-prime positive-real control
499,95,2,8,-0.49742652615868987,0.49742652615868987,-0.49742707383503521,0.49742707383503521,5.4767634533048337e-07,0.60809322764080498,1.644484685152078,0.60809322764080498,1.6444846851520765,0,0,0,1.5543122344752192e-15,finite-prime positive-real control
499,95,2,16,-0.49742707383055162,0.49742707383055162,-0.49742707383503521,0.49742707383503521,4.4835801737974634e-12,0.60809322764080498,1.644484685152078,0.60809322764080498,1.6444846851520765,0,0,0,1.5543122344752192e-15,finite-prime positive-real control
499,95,2,32,-0.49742707383503521,0.49742707383503521,-0.49742707383503521,0.49742707383503521,0,0.60809322764080498,1.644484685152078,0.60809322764080498,1.6444846851520765,0,0,0,1.5543122344752192e-15,finite-prime positive-real control
499,95,3,1,-0.17476235309416102,0.17476235309416102,-0.18403388918620847,0.18403388918620847,0.0092715360920474499,0.83190761067702645,1.2020565591246075,0.83190761067702601,1.2020565591246075,0,0,4.4408920985006262e-16,0,finite-prime positive-real control
499,95,3,2,-0.18329739651947882,0.18329739651947882,-0.18403388918620847,0.18403388918620847,0.00073649266672964897,0.83190761067702645,1.2020565591246075,0.83190761067702601,1.2020565591246075,0,0,4.4408920985006262e-16,0,finite-prime positive-real control
499,95,3,4,-0.18402705899530827,0.18402705899530827,-0.18403388918620847,0.18403388918620847,6.8301909001977634e-06,0.83190761067702645,1.2020565591246075,0.83190761067702601,1.2020565591246075,0,0,4.4408920985006262e-16,0,finite-prime positive-real control
499,95,3,8,-0.18403388825326467,0.18403388825326467,-0.18403388918620847,0.18403388918620847,9.3294380554276302e-10,0.83190761067702645,1.2020565591246075,0.83190761067702601,1.2020565591246075,0,0,4.4408920985006262e-16,0,finite-prime positive-real control
499,95,3,16,-0.18403388918620842,0.18403388918620842,-0.18403388918620847,0.18403388918620847,5.5511151231257827e-17,0.83190761067702645,1.2020565591246075,0.83190761067702601,1.2020565591246075,0,0,4.4408920985006262e-16,0,finite-prime positive-real control
499,95,3,32,-0.18403388918620844,0.18403388918620844,-0.18403388918620847,0.18403388918620847,2.7755575615628914e-17,0.83190761067702645,1.2020565591246075,0.83190761067702601,1.2020565591246075,0,0,4.4408920985006262e-16,0,finite-prime positive-real control
