variant,seed,s,theta,cutoff,degree,coefficient_real,coefficient_imag,coefficient_abs
maslov_action,,0.5,0.0,20,18,6.556268000954153e-23,-1.1262257910365539e-23,6.652295440878379e-23
maslov_action,,0.5,0.0,20,19,-1.5860814109736456e-24,1.0495364207177242e-24,1.901888782407931e-24
maslov_action,,0.5,0.0,20,20,-1.3505298697383722e-26,-4.519605007064639e-26,4.7170711621661274e-26
maslov_action,,0.5,1.0,8,0,1.0,0.0,1.0
maslov_action,,0.5,1.0,8,1,-0.081918958664497,0.1404071753596976,0.16255734582344916
maslov_action,,0.5,1.0,8,2,-0.0015951885612350593,-0.002821998975790302,0.003241651549018909
maslov_action,,0.5,1.0,8,3,0.007523661677402522,0.00037343088454501856,0.007532923447211408
maslov_action,,0.5,1.0,8,4,0.001560491369726071,0.0002061507404503731,0.0015740493774903587
maslov_action,,0.5,1.0,8,5,-3.333169038225268e-05,4.592861450229487e-05,5.6748913767919525e-05
maslov_action,,0.5,1.0,8,6,-4.328654461225523e-07,-1.2472522602002606e-07,4.504762773472348e-07
maslov_action,,0.5,1.0,8,7,-3.4427769107517695e-08,1.4924035807914835e-08,3.752330116762748e-08
maslov_action,,0.5,1.0,8,8,4.691992931173704e-09,9.827534281904877e-10,4.7938087119538005e-09
maslov_action,,0.5,1.0,12,0,1.0,0.0,1.0
maslov_action,,0.5,1.0,12,1,-0.081918958664497,0.1404071753596976,0.16255734582344916
maslov_action,,0.5,1.0,12,2,-0.0015951885612350593,-0.002821998975790302,0.003241651549018909
maslov_action,,0.5,1.0,12,3,0.007523661677402522,0.00037343088454501856,0.007532923447211408
maslov_action,,0.5,1.0,12,4,0.001560491369726071,0.0002061507404503731,0.0015740493774903587
maslov_action,,0.5,1.0,12,5,-3.333169038225268e-05,4.592861450229487e-05,5.6748913767919525e-05
maslov_action,,0.5,1.0,12,6,-4.328654461225523e-07,-1.2472522602002606e-07,4.504762773472348e-07
maslov_action,,0.5,1.0,12,7,-3.4427769107517695e-08,1.4924035807914835e-08,3.752330116762748e-08
maslov_action,,0.5,1.0,12,8,4.691992931173704e-09,9.827534281904877e-10,4.7938087119538005e-09
maslov_action,,0.5,1.0,12,9,2.2338697995404268e-12,2.042541556806909e-11,2.054720845783237e-11
maslov_action,,0.5,1.0,12,10,4.587064861818338e-12,4.75898085990584e-13,4.611685487408914e-12
maslov_action,,0.5,1.0,12,11,-1.2958631759807206e-13,3.106667678461665e-14,1.332582159383362e-13
maslov_action,,0.5,1.0,12,12,4.3453516938488184e-15,-4.282231643998014e-15,6.10078594904728e-15
maslov_action,,0.5,1.0,16,0,1.0,0.0,1.0
