p,iterate,fix_count
109,37,2
109,38,80
109,39,21
109,40,109
109,41,43
109,42,140
109,43,45
109,44,4
109,45,121
109,46,27
109,47,2
109,48,100
109,49,65
109,50,54
109,51,59
109,52,95
109,53,2
109,54,145
109,55,7
109,56,32
109,57,84
109,58,33
109,59,120
109,60,128
109,61,2
109,62,4
109,63,40
109,64,4
113,1,2
113,2,2
113,3,2
113,4,2
113,5,2
113,6,8
113,7,9
113,8,2
113,9,11
113,10,22
113,11,13
113,12,32
113,13,15
113,14,9
113,15,2
113,16,34
113,17,19
113,18,35
113,19,2
113,20,62
113,21,9
113,22,13
113,23,25
113,24,56
113,25,2
113,26,41
113,27,11
113,28,9
113,29,31
113,30,28
113,31,2
113,32,130
113,33,13
113,34,19
113,35,9
113,36,59
113,37,76
113,38,78
113,39,15
113,40,62
113,41,2
113,42,15
113,43,45
113,44,57
113,45,56
113,46,25
113,47,2
113,48,88
113,49,58
113,50,22
113,51,19
113,52,41
113,53,108
113,54,35
113,55,13
113,56,121
113,57,2
113,58,147
113,59,2
113,60,152
113,61,63
113,62,64
113,63,81
113,64,194
127,1,0
127,2,0
127,3,0
127,4,0
127,5,0
127,6,6
127,7,0
127,8,24
127,9,9
127,10,20
127,11,0
127,12,42
127,13,0
127,14,14
127,15,30
127,16,24
127,17,17
127,18,69
127,19,19
127,20,20
127,21,0
127,22,0
127,23,23
127,24,90
127,25,50
127,26,0
127,27,9
127,28,42
127,29,29
127,30,56
127,31,31
127,32,56
127,33,0
127,34,17
127,35,0
127,36,105
127,37,37
127,38,19
127,39,78
127,40,84
127,41,0
127,42,20
127,43,0
127,44,44
127,45,39
127,46,115
127,47,47
127,48,90
127,49,0
127,50,70
127,51,17
127,52,0
127,53,53
127,54,123
127,55,55
127,56,178
127,57,76
127,58,87
127,59,59
127,60,92
127,61,61
127,62,31
127,63,198
127,64,120
131,1,2
131,2,4
131,3,8
131,4,4
131,5,7
131,6,16
131,7,2
131,8,4
131,9,17
131,10,9
131,11,24
131,12,16
131,13,28
131,14,18
131,15,28
131,16,36
131,17,19
131,18,43
131,19,2
131,20,9
131,21,29
131,22,26
131,23,2
131,24,64
131,25,57
131,26,30
131,27,71
131,28,74
131,29,2
131,30,36
131,31,33
131,32,36
131,33,63
131,34,21
131,35,77
131,36,43
131,37,2
131,38,4
131,39,34
131,40,9
131,41,2
131,42,51
131,43,45
131,44,70
131,45,127
131,46,50
131,47,2
131,48,144
131,49,2
131,50,159
131,51,25
131,52,82
131,53,55
131,54,151
131,55,84
131,56,242
131,57,65
131,58,4
131,59,120
131,60,36
131,61,2
131,62,159
131,63,38
131,64,164
137,1,2
137,2,2
137,3,2
137,4,2
137,5,7
137,6,8
