system_id,marking_id,move_target,move_source,move_exponent,positive_generator_count,alphabet_size,marked_owner_rows,raw_cyclically_reduced_linear_words,symbolically_primitive_owner_rows,symbolic_repetition_owner_rows,identity_owner_rows,parabolic_owner_rows,loxodromic_owner_rows,primitive_loxodromic_phase_rows,q_real,q_imag,abs_q,null_mean_abs_q,null_sample_sd_abs_q,z_abs_q,maximum_matrix_determinant_residual,all_candidate_level3_membership,evaluation_digest,evidence_status
BIANCHI_LEVEL3_NIELSEN_PANEL,R4_1_M,4,1,-1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0088216214416423373,0.005489774661300257,0.010390314272989927,0.02992506645631024,0.016071149211268933,-1.2155168200182433,0.00000000000000000e+00,true,1223c881b617790822bc644fffada69b85520cedb3e35dda3067cd470e0ad63e,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R4_1_M,4,1,-1,4,8,2074,19624,2046,28,6,93,1975,1949,0.025897880012206897,0.038511083647710116,0.046409091273667394,0.02842249686601761,0.014215976083313172,1.2652380886292145,6.72551640107386766e-60,NOT_APPLICABLE_CONTROL,b2307ecbd7ded49601d25d7ee4f217594927ab96229d06af58cf16c03e9ee958,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R4_2_P,4,2,1,4,8,2074,19624,2046,28,1,81,1992,1979,-0.0051691650716133627,4.6000469636621599e-19,0.0051691650716133627,0.028273532925896731,0.013437852840417423,-1.7193496705657978,0.00000000000000000e+00,true,44a69b7884edef1be84d4c9ede4a042bbe2cbdb695c748d7c441dabe69fbe994,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R4_2_P,4,2,1,4,8,2074,19624,2046,28,24,141,1909,1884,0.085569914264696526,-0.0059224740223737639,0.085774622854392107,0.027906062293290495,0.014400641963776528,4.0184708922466497,3.19919759436782075e-61,NOT_APPLICABLE_CONTROL,7d7c2e87ad97b48fef1bcfd40658ac3fbea58efd5e276df5cac3c144ca828405,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R4_2_M,4,2,-1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0095152360785095598,-1.3156557629833339e-17,0.0095152360785095598,0.026733700663234539,0.014744565693416768,-1.1677837749003872,0.00000000000000000e+00,true,b461ac3e12d978c7d2237b99efbb33c990161a9d215cb20bf40ab1dbb24c81a0,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R4_2_M,4,2,-1,4,8,2074,19624,2046,28,6,97,1971,1949,0.064030711292503567,-0.0046312532220754684,0.064197978901449293,0.030101616866343942,0.015008017465202434,2.271876489627036,4.24814219155751908e-61,NOT_APPLICABLE_CONTROL,b173bfb02d4c17f5e40c3f941fde5a3ff507b4200a7f6c5b91606555d1b3b1f3,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R4_3_P,4,3,1,4,8,2074,19624,2046,28,2,132,1940,1932,0.00011808239580844487,-0.00027359317012710759,0.00029798770937752226,0.024601324821064981,0.014285813746668069,-1.7012217534584484,0.00000000000000000e+00,true,ece08a528a0907216f3c96aee6141ecbd4f7f219282bc869917d68cf30d4e0f8,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R4_3_P,4,3,1,4,8,2074,19624,2046,28,5,59,2010,1984,0.097763811598339925,0.011872900156250067,0.098482123333912666,0.027753458665779301,0.014339472303014212,4.9324454326862455,2.19745909669654126e-59,NOT_APPLICABLE_CONTROL,5a2099f46120cdec2ec010b059bff6557b1dcfc5cfd98d08c52441d7b96481e3,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R4_3_M,4,3,-1,4,8,2074,19624,2046,28,2,132,1940,1932,0.00011808239580843469,0.0002735931701270614,0.00029798770937747581,0.027259050622761197,0.016002471044220857,-1.6848062301678375,0.00000000000000000e+00,true,5a3943cd73670535fa95d25222138351cec5eb8b0c739b62a1b3b79d11266a65,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R4_3_M,4,3,-1,4,8,2074,19624,2046,28,5,83,1986,1961,0.080188603813970485,-0.073051802946600491,0.10847478091880559,0.029333249870919804,0.014296893076941333,5.5355755003532048,1.02971939610995814e-60,NOT_APPLICABLE_CONTROL,d9d27bf089702f5557087a099a3ea01f010813965c11a214e4db05d6b5cf6794,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
