cutoff_k,grid_id,sigma,tau,observable,method,value_re,value_im,abs_diff_vs_mpmath_100
18,R400,4.0,0.0,liouville,mpmath_50dps,0.9122920420272110885656333457411563936427897589808,0.0,1.492447709640984135488436105133112024948e-51
18,R400,4.0,0.0,liouville,mpmath_100dps,0.9122920420272110885656333457411563936427897589807985075522903590158645115638948668879750522886867393,0.0,0.0
18,C160_3,1.6,3.0,liouville,numpy_complex128,1.236962506609409,0.2431600808121973,2.59339628393327235726556983238654119779e-15
18,C160_3,1.6,3.0,liouville,mpmath_50dps,1.2369625066094112189998263209364917176224644779687,0.2431600808121959577093994568240664002261205458035,4.47049648462200292848976803108116228934e-50
18,C160_3,1.6,3.0,liouville,mpmath_100dps,1.236962506609411218999826320936491717622464477968744516719260309859690504491316424892589914023813235,0.2431600808121959577093994568240664002261205458035040982420866178446516611471891947589142263276992543,0.0
18,C160_9,1.6,9.0,liouville,numpy_complex128,1.2981345998746512,-0.1464822788401024,1.461704875965980624945175078684813482243e-15
18,C160_9,1.6,9.0,liouville,mpmath_50dps,1.2981345998746511811603442667275449288655533372755,-0.14648227884010093841653957272266294680296763180789,1.10991214388601080443048758616375306067e-50
18,C160_9,1.6,9.0,liouville,mpmath_100dps,1.298134599874651181160344266727544928865553337275489883992507443754722050411110013731504193389002413,-0.1464822788401009384165395727226629468029676318078945669343245890872181621752873768999178590590143905,0.0
18,C175_5,1.75,5.0,liouville,numpy_complex128,1.312648463948101,-0.22323451142694212,1.816206722547894716898039105967525936814e-15
18,C175_5,1.75,5.0,liouville,mpmath_50dps,1.3126484639480992129398484910397453952135328389364,-0.22323451142694179592767178153355991509490792899478,1.260946257406916097447429148828986144427e-50
18,C175_5,1.75,5.0,liouville,mpmath_100dps,1.312648463948099212939848491039745395213532838936387744913177150894017506014125314122302171696827654,-0.2232345114269417959276717815335599150949079289947770316008739926707496566574800537774569446735789075,0.0
18,C190_11,1.9,11.0,liouville,numpy_complex128,0.7503939427319144,0.15585770504287547,3.487548992256025819394714151151117549617e-15
18,C190_11,1.9,11.0,liouville,mpmath_50dps,0.75039394273191101589460931604573576512395054110205,0.15585770504287462689343607713353535083588295082321,1.234688334609238075534806172475891209901e-51
18,C190_11,1.9,11.0,liouville,mpmath_100dps,0.7503939427319110158946093160457357651239505411020508803794512618244561999151024393848085982877865532,0.1558577050428746268934360771335353508358829508232091343284078727876481743215270543881048484361657215,0.0
18,C225_1,2.25,1.0,liouville,numpy_complex128,0.8949220428942037,0.34138352441045916,5.950981204854528314842788672784849233133e-17
18,C225_1,2.25,1.0,liouville,mpmath_50dps,0.89492204289420375215158816994764141649427759360181,0.3413835244104591313359182703271904146871833178194,1.811154690154060975718475412585623828033e-51
18,C225_1,2.25,1.0,liouville,mpmath_100dps,0.8949220428942037521515881699476414164942775936018082264896645981696474985047625718566763923984509491,0.341383524410459131335918270327190414687183317819400367345071955429703084565340139932492921469508878,0.0
