candidate_id,q,d,length,predicted_length,first_vertex,last_vertex,simple_cycle,primitive_certificate,closing_quotient,mass
SD-C23,15,11,154,154,11,164,True,True,15,90586931920587969225731104267089577050624833619618303308493782285763939281379879616942057562338022342480109217829644152315245970328141792410332169940862433708479012518662298446245484753310296099126143413954119118133217674557985498694080179348785070080000000000000000000000000000000000000
SD-C23,15,12,168,168,12,179,True,True,15,27960388510759922257316236786191227603072772032336673884518038514560961933237241927261500881847758578904064078427211879831025217478234101274207239743662196670873424160979811128684379322443203731127524307442864277602920277634579126865827841930910286982784238249211511795620826316800000000000000000000000000000000000000000
SD-C23,15,13,182,182,13,194,True,True,15,27748946828170291979550238487351050633202644555724676421070881894503170023354534375156577711670100892058441869519605033850513949103164607482860528428243027488244191268903965770862289855376065821713113302768211605129658645577051067595433673039981850860667512201107612675917932842453126034130635238747078341427200000000000000000000000000000000000000000000
SD-C23,15,14,196,196,14,209,True,True,15,80925055106866301889825131330668058990042011580645296828478278716360438390423670174629720211595272283235779778301728193141245868779987564190793426996842948893507636049103006820716496631246319623940121336461800876800303411411418349079598690016732969239973685673363510168883433657772470885954906184176082875347001187311993597801302297935872000000000000000000000000000000000000000000000000
SD-C23,15,15,210,210,15,224,True,True,15,642035910168628774460362135445992696591183068435495553374383559256953516030039454178166753466537192053241586096057441692015120697533045630123062119957296319108383062038790616392187723804853316663897697422252549560661320166136625985706635262064915120771680521969448189444480053371124584863368778348919327461956197409962624492623174361211452162395664997869991334684655616000000000000000000000000000000000000000000000000000
SD-C23,15,16,224,224,16,239,True,True,15,12961577257534353411284344813939200898764485262584204073520528930720920497176305643320972682602981819336173129015907073597326295697702232303585808805048205130174473692342915734494309991598530938827911320743739649323465876845941171452885011356015098991829752025119404682215569284613072526408489069975943993486132745050759135077985978756563177524986024144890551223176227931538032950549830792607042633728000000000000000000000000000000000000000000000000000000
SD-C23,16,2,30,30,2,31,True,True,16,8222838654177922817725562880000000
SD-C23,16,3,45,45,3,47,True,True,16,129311620755584090321482177576805989984598816194560000000000
SD-C23,16,4,60,60,4,63,True,True,16,330434719234073344019357784726983022924128948371211438017713266602121625600000000000000
SD-C23,16,5,75,75,5,79,True,True,16,37275758878262397028547673814159652169575342365815496133911169301159916278895910855556742118375424000000000000000000
SD-C23,16,6,90,90,6,95,True,True,16,86083154068658827188330850828289392461647886167644773910102088093619116563289192707264711461545203904694018640535221727920128000000000000000000000
SD-C23,16,7,105,105,7,111,True,True,16,2448545209847562033155779232093160817724179911148007661168852865760204104287844883939660520275642105240550066198386081823813677079444266143500133686312960000000000000000000000000
