kappa,cutoff,root_index,real,imag,high_precision_real,high_precision_imag,high_precision_residual
0,8,30,0.13014868178166739,9.776723871509228,0.13014868178166437984132541153541261000893918454029194052031461468719811424476494,9.7767238715092282692179116416990308483908067760982885440277666466937217783173631,2.9600712241376895282e-80
0,8,31,0.10806968911884456,11.803893403885219,0.10806968911884260919855625017811960062022583476051347780662493669044756680974193,11.803893403885219057726371275648223629629908717110196169644297889475551781163059,1.2955414723696541956e-79
0,8,32,0.25811678995722087,12.73767435262726,0.25811678995722084692060447749662640444300416839622444027125768181794125492485671,12.737674352627260721695011597905989781993475154952780584326002522002390399469979,7.4988793540477038072e-81
0,8,33,-0.06421646261250867,13.175210333218885,-0.064216462612508988643590827981981133450294146695700413389972128344161645222258826,13.175210333218883164266238838259990512746657714044452278229459294325244910572922,7.2141994428959941586e-79
0,8,34,-0.05354049449159239,14.078909471422705,-0.053540494491595680201786485094074275505917548220968849658054148505204858168485274,14.078909471422722881566664588059059153283765637338484313163622768374309591125483,4.3726236230961170792e-79
0,8,35,-0.2206298834091194,15.022162038088075,-0.22062988340920999893972680575422828697813126148291779087102740721382436152037639,15.022162038088071466958385230096921955494595380885467457224598613486684339824333,1.221824277852656889e-77
0,8,36,0.12009534266703958,15.612941991449674,0.12009534266703834613253532329317544800586490600366448728929040384648403259707543,15.61294199144967733937257859481490441955612529033185682451695714150697379673219,3.6004442070677741988e-80
0,8,37,0.027243483210321526,16.145842248354512,0.027243483210323869145626436621784149308101145083890679328684097519363167964813903,16.145842248354515038067418425769822571593310485177485060802016321464780189939306,4.0022187894312874028e-80
0,8,38,0.045418421194006756,16.841468762189976,0.045418421194006734359762516485547212172618251724216786381396036626630066081178742,16.841468762189976373853242961383368181479596904590532251237720772552510340757437,6.7214779770072455351e-80
0,8,39,0.12899740637641122,17.979105454183877,0.12899740637641013053606503663865612571453853649308216013425223289645657779107688,17.97910545418387709188418880103691602891797158467585190103377559073708652497272,1.5450581520709718719e-79
0,8,40,0.12671024204472686,18.946835201311536,0.12671024204472790318385547181018947143365202904271157112905573199230791293813128,18.946835201311540793670912192290030002449499441631747593835375426969752966009025,1.1166335176618327249e-79
0,8,41,-0.047893171623269185,19.350529023918117,-0.047893171623297327407948949938212797683871262897094064779219846156937466106523836,19.350529023918141336118436498455825002087385457744504409550622758338668066510832,8.0548618703755026435e-79
0,8,42,-0.10949878378676205,19.62591445108661,-0.10949878378675073953363739364360839711923711108051447360634424400424366670584237,19.62591445108657022389171665757043301421479508682632136930063668873627927130741,2.25482507451679939e-78
1,7,0,0.025600813662291725,-19.95374039132368,0.025600813662296319020364963971396888578491415440438883980268649893078405020191195,-19.953740391323684818519450532465090279479185915979890267545846892835252297991761,7.9094592106071010303e-80
1,7,1,0.12141140650861199,-19.31532201084542,0.12141140650861162659410256791612981160574735104933899571511041273505116783553455,-19.315322010845423457649030627504790521235953900273703826369112303217192425666872,1.5085499404436870002e-80
1,7,2,0.22210070684185745,-18.697551213633528,0.2221007068418569260845697402916796564612280100318674982365679172320975193964975,-18.697551213633528248209176920984187074671097529286995777441924847087375871821964,6.8494376753444972654e-80
1,7,3,-0.010679732101019055,-17.657110111874292,-0.01067973210101988574716404615335788444863721992037700536212700747417832600383069,-17.657110111874295405167399505450016687454906933918294731021993225493116000070293,3.951566805095501523e-80
1,7,4,-0.0060151835889908,-16.30944381241993,-0.0060151835889869073004233352724027174443863173044749450171904617740698974471399965,-16.309443812419931356804100953569700375386555406936031175037135175260859391033568,2.4531062617525738561e-79
1,7,5,0.2393615985337025,-15.841368991062248,0.23936159853370251258360633471401527996114091081108411975094160085215276255953838,-15.841368991062247950816440118696268956492197720791468882864267623693090368358901,7.8830029697168852845e-81
1,7,6,0.16406028444025858,-14.885367849648924,0.1640602844402583360172219152038622804375612195825385497042529562686944098703639,-14.885367849648922335122679135757521280356030433095025613608345422481091866144594,3.8756917913779760696e-81
1,7,7,-0.03568308374039033,-13.748798261458813,-0.035683083740387157272529074950295419047227613393729509659351654117674724360717598,-13.748798261458818255971300385017721494597101311948502255163512157632793157607057,2.6642420263726069748e-79
1,7,8,0.08094688913999297,-12.833453034373713,0.080946889139990458380629916901590377920858221641150964771978778326695177083089207,-12.833453034373711600845273627827371180702794170032878964717112263850204807425941,1.1970712475528938977e-79
1,7,9,0.0970334139242187,-12.132314020165095,0.097033413924219715223749241486626697792646704883217482821564521740396986369147707,-12.132314020165095867777434086463041935552258618399094580235458357660421495196526,9.4710149375650081872e-80
1,7,10,0.04225414780524867,-10.976881930513231,0.04225414780524912804879878656404492292792718608799789833959972260717735756883753,-10.976881930513232307025348266910723431513354326725577655192293872239278977394546,1.2652394442867930141e-79
1,7,11,-0.16648795500010385,-10.028775445910737,-0.16648795500010874819866702060918882135424607493527198504187351419342539112936192,-10.028775445910730359569042136475161236999132120532131214688480646046086029054752,1.6277167280039017305e-78
1,7,12,0.20963186751520946,-9.620229779400042,0.2096318675152096007952565226333527089118997225806325815464526897434919322213402,-9.6202297794000408798817344867483713925387115306369479605702406028626067338617591,1.8335575971074337003e-80
