p,cycle_length,simulated_length,harmonic_lower_bound,length_over_log_p,optimal_max_weight_sigma_1,optimal_max_weight_sigma_2,source_roof_over_log_p
1069,3287,3287,3271.5313639216392,471.2896894424629,0.9978804122947308,0.9957653172415019,6120.667731986438
1087,3341,3341,3326.5842774394973,477.8880657639517,0.9979096476123607,0.9958236647978259,6221.907272520993
1091,3387,3387,3371.878864281849,484.21338654293044,0.9979369258768026,0.9958781080284431,6308.1690577562795
1093,3398,3398,3378.0564607333285,485.6588092143637,0.9979430596996293,0.9958903504026577,6329.420603122132
1097,3405,3405,3390.4116536362867,486.4053309627333,0.9979462133919174,0.9958966448232663,6341.8944069374975
1103,3423,3423,3408.944442990725,488.5959298221538,0.9979554120361513,0.9959150044122446,6375.62564215655
1109,3443,3443,3427.4772323451616,491.0704488854371,0.9979657042911085,0.9959355469412482,6413.357252121083
1117,3467,3467,3452.187618151078,493.9871069307834,0.9979777032710624,0.9959594962261846,6458.330877612241
1123,3490,3490,3470.720407505514,496.8849333369476,0.9979894854150395,0.9959830129989753,6502.079745866132
1129,3507,3507,3489.253196859952,498.926776483294,0.9979977051438694,0.9959994194724298,6533.810110604939
1151,3571,3571,3557.206757826222,506.6407817229116,0.9980281615841057,0.9960602113149497,6653.51561625155
1153,3582,3582,3563.3843542777026,508.0762766465082,0.9980337272432545,0.9960713207150628,6674.771550051694
1163,3646,3646,3628.478218888038,516.5214505470847,0.9980658448756939,0.9961354307074327,6794.647521867481
1171,3672,3672,3653.4238988116017,519.700104016202,0.9980776634144534,0.9961590222068549,6843.611704121649
1181,3702,3702,3684.6059987160565,523.31620980921,0.9980909340389391,0.996185512610722,6899.821580571198
1187,3716,3716,3703.3152586587294,524.9192269704811,0.9980967584615857,0.9961971392515251,6925.541067153819
1193,3739,3739,3722.024518601401,527.7922778324661,0.9981071089942226,0.9962178010248051,6969.279873449663
1201,3769,3769,3746.9701985249644,531.5255862179947,0.9981203917044271,0.996244316336199,7026.263784495898
1213,3800,3800,3784.3887184103105,535.1470568219593,0.9981330995913269,0.9962696844997897,7083.714817864239
1217,3812,3812,3796.861558372092,536.5882152873012,0.9981381090063403,0.9962796846507527,7106.207200241535
1223,3831,3831,3815.570818314764,538.8896491379013,0.9981460532012324,0.9962955435211973,7141.947778381089
1229,3885,3885,3869.3943639717227,546.1096385984018,0.998170541369525,0.9963444296579306,7243.230991364275
1231,3892,3892,3875.687926809756,546.9686008791783,0.9981734117352037,0.9963501598950963,7256.470838760283
1237,3912,3912,3894.5686153238566,549.4039129310069,0.9981815009847068,0.9963663089080822,7294.187273794456
1249,3952,3952,3932.3299923520594,554.27004190583,0.9981974518206582,0.9963981528212553,7369.635062636144
1259,3976,3976,3963.7978065422276,557.0130735615695,0.9982063205706302,0.9964158584271557,7413.8293832588815
1277,4039,4039,4020.43987208453,564.7159078190033,0.9982307650490972,0.996464660290506,7533.017377854294
1279,4044,4044,4026.7334349225653,565.2912986470966,0.9982325643009325,0.9964682524308154,7542.2566302795785
1283,4056,4056,4039.3205605986336,566.7213537940618,0.9982370202848069,0.9964771486670899,7564.741056611254
1289,4075,4075,4058.201249112734,569.0051776437779,0.9982440901644186,0.996491263548188,7600.47024076655
1291,4082,4082,4064.4948119507667,569.8592435407705,0.998246719493137,0.9964965129788098,7613.714065000204
1297,4140,4140,4119.403278242647,577.5823398115208,0.998270143054806,0.9965432785146627,7722.9080378751605
1301,4152,4152,4132.101515029825,579.0077495196622,0.9982743979653893,0.9965517736331604,7745.382679971019
1303,4159,4159,4138.450633423415,579.8597050799782,0.9982769311107929,0.9965568311879827,7758.62127186238
1307,4168,4168,4151.148870210593,580.8662776125439,0.9982799144158542,0.9965627875261251,7775.089668491351
1319,4201,4201,4189.243580572129,584.7205068908993,0.9982912427970378,0.9965854054452544,7836.5092865630195
1321,4216,4216,4195.592698965718,586.6845726082653,0.9982969583930721,0.996596817136859,7865.7626284184935
1327,4233,4233,4214.640054146486,588.6790031687356,0.9983027233585116,0.9966083274650209,7897.479512669085
1361,4341,4341,4322.575066837504,601.5819065898824,0.9983390967923459,0.9966809521841571,8100.565205595504
1367,4358,4358,4341.622422018271,603.5698564296673,0.9983445627011609,0.9966918658749722,8132.291063748591
1373,4416,4416,4397.777885307149,611.2319344317596,0.9983652974107703,0.9967332670740958,8241.361744521755
1381,4446,4446,4423.390575097721,614.8898648238292,0.9983750142195483,0.9967526690178833,8298.312534672481
1399,4495,4495,4481.019127126511,620.5552493274283,0.9983898376434996,0.9967822679098135,8389.430595427844
1409,4534,4534,4513.034989364727,625.3244963920009,0.9984021082702522,0.9968067697984845,8463.637007108848
1423,4574,4574,4557.85719649823,629.9822000696422,0.9984139127320586,0.9968303411369386,8538.29475877073
1427,4586,4586,4570.663541393515,631.3908691360068,0.9984174485817523,0.996837401632496,8560.77496269293
1429,4597,4597,4577.066713841161,632.783308864741,0.9984209282353589,0.9968443499383557,8582.021771820937
1433,4610,4610,4589.873058736449,634.3287059372083,0.9984247722516232,0.9968520258457056,8606.499738160766
1439,4620,4620,4609.082576079378,635.3394178621695,0.9984272761869997,0.9968570258341914,8624.206493720005
1447,4691,4691,4672.774213238371,644.6118335140675,0.9984498814815433,0.996902165830508,8758.42339539561
1451,4704,4704,4685.685821291553,646.1531136501628,0.9984535761454615,0.9969095437176609,8782.892720488673
1453,4712,4712,4692.141625318144,647.1295736434821,0.9984559077567513,0.9969141997343582,8798.12910010272
1459,4732,4732,4711.509037397916,649.5087154865661,0.9984615593932978,0.9969254855860961,8835.835348904055
1471,4769,4769,4750.24386155746,653.852158765739,0.9984717712139687,0.9969458779111599,8905.242804411815
1481,4801,4801,4782.522881690413,657.6286388762502,0.9984805405077574,0.9969633897726632,8965.425514754428
1483,4808,4808,4788.978685717004,658.4657602874853,0.9984824707621985,0.9969672444193847,8978.665000973057
1487,4821,4821,4801.890293770185,660.0026662049122,0.9984860018588795,0.9969742959081302,9003.13891876215
1489,4830,4830,4808.346097796776,661.1131308829039,0.9984885429825942,0.9969793704675038,9020.378374951204
1493,4838,4838,4821.257705849959,661.9650639015167,0.9984904867223016,0.9969832520749387,9034.84357953973
1499,4857,4857,4840.625117929729,664.2002689293494,0.9984955628002712,0.9969933889318303,9070.554443582156
1511,4893,4893,4879.359942089273,668.3945056437458,0.9985049962211228,0.9970122274785443,9137.977786384236
1523,4978,4978,4957.146048300101,679.2716864848956,0.9985289181067571,0.9970600002954509,9298.569351371605
1531,5004,5004,4983.174392611592,682.3317160493882,0.9985355105838856,0.9970731658970211,9347.497767524334
1543,5043,5043,5022.21690907883,686.9183534847252,0.9985452820419298,0.9970926802881972,9420.901009132462
1549,5061,5061,5041.738167312447,689.0059391131313,0.9985496864234775,0.9971014762564253,9454.59856592762
1553,5073,5073,5054.752339468191,690.3972216034383,0.9985526069666718,0.9971073088799365,9477.06737992571
1559,5088,5088,5074.273597701807,692.0754224301388,0.9985561141880667,0.9971143131823712,9504.767813997054
1567,5121,5121,5100.301942013302,696.07950384943,0.9985644139360861,0.997130888779519,9567.719691808295
1571,5133,5133,5113.316114169047,697.468927415061,0.9985672717086108,0.9971365961275785,9590.188072479401
1579,5156,5156,5139.344458480538,700.1109491214421,0.9985726745615934,0.9971473863810939,9633.124090738716
1583,5167,5167,5152.358630636283,701.3636423240364,0.9985752220653543,0.9971524741228716,9653.594289701208
1597,5219,5219,5197.908233181393,707.5763813909384,0.9985877232175042,0.9971774409607188,9752.261548912029
1601,5275,5275,5250.947405337137,714.9262230301615,0.9986022320612771,0.9972064178777648,9857.792632022214
1607,5289,5289,5270.618663570756,716.4604303535872,0.9986052231121364,0.9972123916268396,9883.47590501881
1609,5296,5296,5277.175749648629,717.2878142555206,0.9986068308512857,0.9972156026228483,9896.706290649521
1613,5310,5310,5290.289921804375,718.942196888685,0.9986100344917044,0.9972220009875231,9923.172493353826
1619,5326,5326,5309.961180037992,720.7461811531326,0.9986135110787081,0.9972289445089452,9952.863670447323
1621,5340,5340,5316.518266115866,722.5200341066718,0.9986169126811066,0.9972357382927449,9980.105968727037
1627,5355,5355,5336.189524349485,724.1875707169248,0.9986200952222445,0.9972420945816847,10007.796840217965
1637,5386,5386,5368.974954738847,727.7768051599298,0.9986268959334019,0.9972556772815816,10065.962254881118
1657,5458,5458,5434.545815517576,736.2975520560029,0.9986427752866437,0.99728739263221,10202.30969159391
1663,5471,5471,5454.217073751191,737.6915856370063,0.9986453383289275,0.9972925117660982,10226.00226012498
1667,5488,5488,5467.33124590694,739.7441826001358,0.9986490946213101,0.9973000141879624,10258.479167493771
1669,5493,5493,5473.888331984814,740.2984989869284,0.9986501054613182,0.9973020331379019,10267.710048599514
1693,5614,5614,5593.866047846114,755.1527626003657,0.9986766410400959,0.9973550333591287,10495.458451514074
1697,5627,5627,5607.077780977469,756.6612344440413,0.9986792775315826,0.9973602993710037,10519.918470869816
1699,5630,5630,5613.683647543146,756.9447541779612,0.9986797718920911,0.9973612867864392,10525.144255936413
1709,5664,5664,5646.712980371536,760.9156244992114,0.9986866570319934,0.9973750389337385,10589.302824369975
1721,5707,5707,5686.3481797655995,765.9723286425623,0.9986953216434706,0.9973923454725553,10670.699313081628
1723,5714,5714,5692.954046331279,766.7923118174591,0.998696715915225,0.9973951303798556,10683.932397468736
