role,grid_n,index,window,target,predicted,residual,percent_error
P,320,243,postfreeze-evaluation,460.08794442217584,261.700776567783,-198.38716785439283,43.11940146650596
P,320,244,postfreeze-evaluation,462.06536727488253,262.2935431506652,-199.77182412421735,43.23453742105998
P,320,245,postfreeze-evaluation,464.05728691054827,263.41754896751365,-200.63973794303462,43.235984780842365
P,320,246,postfreeze-evaluation,465.6715392113711,264.7945508273854,-200.8769883839857,43.13705508483017
P,320,247,postfreeze-evaluation,466.5702869308262,265.42151897008847,-201.14876796073776,43.1122112991649
P,320,248,postfreeze-evaluation,467.43904621026167,265.8656390994771,-201.57340711078456,43.12292880644669
P,320,249,postfreeze-evaluation,469.53600455911203,267.91892869928716,-201.61707585982487,42.93964124202586
P,320,250,postfreeze-evaluation,470.77365547810166,269.53655640333545,-201.2370990747662,42.74604084852553
P,320,251,postfreeze-evaluation,472.7991746619088,270.274245994198,-202.5249286677108,42.83529657439296
P,320,252,postfreeze-evaluation,473.8352323451397,271.9457622833048,-201.88947006183486,42.607526051329884
P,320,253,postfreeze-evaluation,475.6003393693758,273.8324874098228,-201.76785195955296,42.42382421910966
P,320,254,postfreeze-evaluation,476.7690152374845,274.74837693844853,-202.02063829903597,42.37285390670931
P,320,255,postfreeze-evaluation,478.07526376667096,276.00170054836985,-202.0735632183011,42.26814866475187
P,320,256,postfreeze-evaluation,478.9421815346348,276.25479193878573,-202.68738959584908,42.31980339388664
P,320,257,postfreeze-evaluation,481.8303393762866,276.9330253275945,-204.89731404869207,42.52478461898536
P,320,258,postfreeze-evaluation,482.8347827909824,278.2276812729007,-204.60710151808166,42.37621414417764
P,320,259,postfreeze-evaluation,483.8514272124825,279.869663509664,-203.9817637028185,42.15793366116088
P,320,260,postfreeze-evaluation,485.539148129356,282.51308792993564,-203.02606019942039,41.8145603668874
P,320,261,postfreeze-evaluation,486.52871826165125,283.1546968657966,-203.37402139585464,41.801031216102174
P,320,262,postfreeze-evaluation,488.38056709001745,284.4267559049011,-203.95381118511636,41.761246234747084
P,320,263,postfreeze-evaluation,489.66176157795616,285.82091023259164,-203.8408513453645,41.62890945138917
P,320,264,postfreeze-evaluation,491.398821593663,287.06772373631003,-204.33109785735297,41.58151971034112
P,320,265,postfreeze-evaluation,493.3144415817853,288.9998929642043,-204.31454861758095,41.41669722103771
P,320,266,postfreeze-evaluation,493.9579978053695,289.49796817904416,-204.4600296263253,41.392189322721954
P,320,267,postfreeze-evaluation,495.3588288221313,291.4853076659853,-203.87352115614596,41.156735137015374
P,320,268,postfreeze-evaluation,496.4296962157591,293.0750775107324,-203.35461870502672,40.963427501453175
P,320,269,postfreeze-evaluation,498.58078242968656,294.2894436459287,-204.29133878375785,40.97457142014263
P,320,270,postfreeze-evaluation,500.3090849416905,296.09740166290834,-204.21168327878217,40.81710475087264
P,320,271,postfreeze-evaluation,501.6044469651455,297.68808827853724,-203.91635868660825,40.6528211462961
