cutoff,inventory,atoms,power,shared_supertrace,disjoint_supertrace,mixed_difference,equal,mixed_survives
511,matched_density_hash,6|9|13|28,7,8707205797505053883601072724498165703125/16398891907101101867046335289881551930381855358976,209986193084476963741061542149097557385/16398891907101101867046335289881551930381855358976,4071866370531019047168605117446645/7858346562652074967484533963711897348866048,False,True
511,matched_density_hash,6|9|13|28,8,4421562640002053887362042734863791034875390625/175995794151984675031069870486019834469997818919073611776,62480544510756048152670789244786371590816449/175995794151984675031069870486019834469997818919073611776,1827762555302004018238442395585529065567/73795013581954958401708508804466983686718349115392,False,True
511,arbitrary_decidable_modular,2|4|8|9,1,1765/5184,1765/5184,0/1,True,False
511,arbitrary_decidable_modular,2|4|8|9,2,3115225/26873856,1795249/26873856,679/13824,False,True
511,arbitrary_decidable_modular,2|4|8|9,3,5498372125/139314069504,2211588145/139314069504,1127155/47775744,False,True
511,arbitrary_decidable_modular,2|4|8|9,4,9704626800625/722204136308736,2832189691969/722204136308736,1767602137/185752092672,False,True
511,arbitrary_decidable_modular,2|4|8|9,5,17128666303103125/3743906242624487424,3659733467815825/3743906242624487424,13856926785275/3851755393646592,False,True
511,arbitrary_decidable_modular,2|4|8|9,6,30232096024977015625/19408409961765342806016,4739538520852056289/19408409961765342806016,4371151835412373/3327916660110655488,False,True
511,arbitrary_decidable_modular,2|4|8|9,7,53359649484084432578125/100613197241791537106386944,6141317055107236544305/100613197241791537106386944,48578531305532094685/103511519796081828298752,False,True
511,arbitrary_decidable_modular,2|4|8|9,8,94179781339409023500390625/521578814501447328359509917696,7958782551611992644206209/521578814501447328359509917696,11088091407895708700641/67075464827861024737591296,False,True
