atom,code_length,q,alpha_from_r1,power,normalized_trace_over_w_power,target,residual,match,r1_fit,r2_plus_failure,q_zero_rank_one_boundary
41,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
42,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
42,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
42,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
42,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
42,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
42,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
43,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
43,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
43,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
43,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
43,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
43,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
44,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
44,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
44,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
44,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
44,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
44,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
45,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
45,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
45,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
45,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
45,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
45,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
46,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
46,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
46,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
46,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
46,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
46,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
47,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
47,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
47,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
47,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
47,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
47,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
48,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
48,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
48,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
48,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
48,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
48,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
49,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
49,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
49,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
49,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
49,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
49,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
50,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
50,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
50,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
50,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
50,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
50,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
51,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
51,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
51,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
51,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
51,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
51,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
52,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
52,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
52,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
52,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
52,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
52,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
53,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
53,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
53,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
53,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
53,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
