sigma,cutoff,control,A_trace_norm,B_trace_norm,successor_lower,successor_upper,return_lower,return_upper,normalized_total_lower,normalized_total_upper,interval_ordered,theorem_class,finite_prefix_is_proof
0.51,64,B_only,0,1,3.32145795233939938528191693132452767603041426748507967669970,3.32145795233939938528191693132452767603041426748507967670032,2.18899054225355368993975751230425444357061533139462403588316,2.18899054225355368993975751230425444357061533139462403588346,2.188990542253553689939757512,2.188990542253553689939757512,True,trace_class,False
0.51,64,A_and_B,1,1,3.32145795233939938528191693132452767603041426748507967669970,3.32145795233939938528191693132452767603041426748507967670032,2.18899054225355368993975751230425444357061533139462403588316,2.18899054225355368993975751230425444357061533139462403588346,5.510448494592953075221674443,5.510448494592953075221674443,True,trace_class,False
0.51,128,A_only,1,0,3.94768342530350836859161332057018021247726200752096262044120,3.94768342530350836859161332057018021247726200752096262044246,2.63741290250535829462011902858858693933892430466934987537507,2.63741290250535829462011902858858693933892430466934987537569,3.947683425303508368591613321,3.947683425303508368591613321,True,trace_class,False
0.51,128,B_only,0,1,3.94768342530350836859161332057018021247726200752096262044120,3.94768342530350836859161332057018021247726200752096262044246,2.63741290250535829462011902858858693933892430466934987537507,2.63741290250535829462011902858858693933892430466934987537569,2.637412902505358294620119029,2.637412902505358294620119029,True,trace_class,False
0.51,128,A_and_B,1,1,3.94768342530350836859161332057018021247726200752096262044120,3.94768342530350836859161332057018021247726200752096262044246,2.63741290250535829462011902858858693933892430466934987537507,2.63741290250535829462011902858858693933892430466934987537569,6.585096327808866663211732350,6.585096327808866663211732350,True,trace_class,False
0.51,256,A_only,1,0,4.56881584258746627892532973736253231865181569330707059130562,4.56881584258746627892532973736253231865181569330707059130816,3.08093917720519050847173145759931084666733660907723988296556,3.08093917720519050847173145759931084666733660907723988296683,4.568815842587466278925329737,4.568815842587466278925329737,True,trace_class,False
0.51,256,B_only,0,1,4.56881584258746627892532973736253231865181569330707059130562,4.56881584258746627892532973736253231865181569330707059130816,3.08093917720519050847173145759931084666733660907723988296556,3.08093917720519050847173145759931084666733660907723988296683,3.080939177205190508471731458,3.080939177205190508471731458,True,trace_class,False
0.51,256,A_and_B,1,1,4.56881584258746627892532973736253231865181569330707059130562,4.56881584258746627892532973736253231865181569330707059130816,3.08093917720519050847173145759931084666733660907723988296556,3.08093917720519050847173145759931084666733660907723988296683,7.649755019792656787397061195,7.649755019792656787397061195,True,trace_class,False
0.51,512,A_only,1,0,5.18315285404984617068916188368085055347273102593074416061500,5.18315285404984617068916188368085055347273102593074416062010,3.51898973832030364192032817250416679760209218711773648845962,3.51898973832030364192032817250416679760209218711773648846218,5.183152854049846170689161884,5.183152854049846170689161884,True,trace_class,False
0.51,512,B_only,0,1,5.18315285404984617068916188368085055347273102593074416061500,5.18315285404984617068916188368085055347273102593074416062010,3.51898973832030364192032817250416679760209218711773648845962,3.51898973832030364192032817250416679760209218711773648846218,3.518989738320303641920328173,3.518989738320303641920328173,True,trace_class,False
0.51,512,A_and_B,1,1,5.18315285404984617068916188368085055347273102593074416061500,5.18315285404984617068916188368085055347273102593074416062010,3.51898973832030364192032817250416679760209218711773648845962,3.51898973832030364192032817250416679760209218711773648846218,8.702142592370149812609490057,8.702142592370149812609490057,True,trace_class,False
0.51,1024,A_only,1,0,5.78990196549703902051031364179815097853489800424430094824767,5.78990196549703902051031364179815097853489800424430094825789,3.95132052735550264010716276690447202937748880320149427146836,3.95132052735550264010716276690447202937748880320149427147348,5.789901965497039020510313642,5.789901965497039020510313642,True,trace_class,False
0.51,1024,B_only,0,1,5.78990196549703902051031364179815097853489800424430094824767,5.78990196549703902051031364179815097853489800424430094825789,3.95132052735550264010716276690447202937748880320149427146836,3.95132052735550264010716276690447202937748880320149427147348,3.951320527355502640107162767,3.951320527355502640107162767,True,trace_class,False
0.51,1024,A_and_B,1,1,5.78990196549703902051031364179815097853489800424430094824767,5.78990196549703902051031364179815097853489800424430094825789,3.95132052735550264010716276690447202937748880320149427146836,3.95132052735550264010716276690447202937748880320149427147348,9.741222492852541660617476409,9.741222492852541660617476409,True,trace_class,False
