trace,norm,adjoint_trace_q,q_mod_8,geodesic_length,log_q_minus_length,relative_period_error,represented_in_frozen_ledger,multiplicity_within_frozen_block_cutoff
1751,3065998.999999674,3065999,7,14.935884012255876,1.063790192963117e-13,7.12237850863196e-15,False,0
1783,3179086.999999685,3179087,7,14.97210460661494,9.894530093968528e-14,6.60864344321832e-15,False,0
1785,3186222.999999686,3186223,7,14.974346760725123,9.850259307444289e-14,6.578089491876594e-15,False,0
1797,3229206.9999996903,3229207,7,14.987747154220111,9.589770845669886e-14,6.398407143510976e-15,False,0
1807,3265246.9999996936,3265247,7,14.99884596867346,9.37924589286836e-14,6.2533116964183525e-15,False,0
1819,3308758.999999698,3308759,7,15.012083752580104,9.134183430771183e-14,6.084554004170973e-15,False,0
1827,3337926.9999997,3337927,7,15.020860513581825,8.975245383252372e-14,5.97518722388569e-15,False,0
1839,3381918.9999997043,3381919,7,15.03395385782851,8.743264095578385e-14,5.815678415845027e-15,False,0
1841,3389278.999999705,3389279,7,15.036127772370238,8.705332397682805e-14,5.7896105496518265e-15,False,0
1849,3418798.9999997076,3418799,7,15.04479987777358,8.555647116334601e-14,5.6867802734779004e-15,False,0
1861,3463318.9999997113,3463319,7,15.05773793580385,8.337099968569422e-14,5.536754593627017e-15,False,0
1867,3485686.999999713,3485687,7,15.064175713308543,8.23044328476236e-14,5.463586884140681e-15,False,0
1875,3515622.999999716,3515623,7,15.072727307919891,8.090873403145187e-14,5.367889458793455e-15,False,0
1885,3553222.9999997187,3553223,7,15.083365636895042,7.920545091374447e-14,5.251178869522436e-15,False,0
1895,3591022.9999997215,3591023,7,15.093947678088773,7.754675453143673e-14,5.1376058924603e-15,False,0
1897,3598606.9999997225,3598607,7,15.096057384099497,7.722024215269048e-14,5.115258917472404e-15,False,0
1909,3644278.9999997253,3644279,7,15.10866909864617,7.529684219599356e-14,4.9836846451776646e-15,False,0
1911,3651918.999999726,3651919,7,15.110763340823349,7.498212211070457e-14,4.962166398843131e-15,False,0
1913,3659566.9999997267,3659567,7,15.112855392367837,7.466904461297224e-14,4.940763520484725e-15,False,0
1923,3697926.9999997295,3697927,7,15.123282950334074,7.312793885704545e-14,4.835453988211581e-15,False,0
1925,3705622.99999973,3705623,7,15.12536195372353,7.282450367150372e-14,4.814727997538967e-15,False,0
1931,3728758.999999732,3728759,7,15.131586028485616,7.192359233376744e-14,4.753209095092147e-15,False,0
1947,3790806.9999997364,3790807,7,15.148089483152322,6.958836811618412e-14,4.593870942839349e-15,False,0
1953,3814206.999999738,3814207,7,15.154243337398036,6.873714382248865e-14,4.5358347686589555e-15,False,0
1965,3861222.999999741,3861223,7,15.16649453063619,6.707338601559925e-14,4.422471249378773e-15,False,0
1969,3876958.999999742,3876959,7,15.170561641410082,6.653000920354079e-14,4.385467774768333e-15,False,0
1975,3900622.999999744,3900623,7,15.176646841931904,6.572521955018754e-14,4.330681225881435e-15,False,0
1979,3916438.999999745,3916439,7,15.180693380537216,6.519544691070031e-14,4.294629057871986e-15,False,0
1989,3956118.9999997476,3956119,7,15.190774052162043,6.389418084105847e-14,4.206117517228452e-15,False,0
1997,3988006.9999997495,3988007,7,15.19880216532806,6.28764735453692e-14,4.136936112557905e-15,False,0
2001,4003998.9999997504,4003999,7,15.202804169666905,6.237521840676682e-14,4.102875871493464e-15,False,0
2021,4084438.999999755,4084439,7,15.222694945143973,5.994254407147585e-14,3.937709077629335e-15,False,0
2031,4124958.999999758,4124959,7,15.232566638307524,5.877068159907999e-14,3.858225799667975e-15,False,0
2035,4141222.999999759,4141223,7,15.23650171280433,5.830996291881288e-14,3.826991524557806e-15,False,0
2037,4149366.999999759,4149367,7,15.23846635045244,5.808129656272674e-14,3.811492260899474e-15,False,0
2043,4173846.9999997607,4173847,7,15.244348710461052,5.740199013055728e-14,3.765460317184058e-15,False,0
2053,4214806.999999763,4214807,7,15.254114359520347,5.629173242987857e-14,3.6902655311972115e-15,False,0
2057,4231246.999999763,4231247,7,15.258007306632075,5.5855152742615345e-14,3.6607108398969654e-15,False,0
2059,4239478.999999763,4239479,7,15.259950942299554,5.5638450072369113e-14,3.646043836100605e-15,False,0
2073,4297326.999999767,4297327,7,15.273503759466026,5.415059037530488e-14,3.5453941170338142e-15,False,0
2077,4313926.999999768,4313927,7,15.277359184137572,5.3734649022525e-14,3.5172733961977743e-15,False,0
2081,4330558.999999769,4330559,7,15.28120719095318,5.332269367147136e-14,3.4894294020854198e-15,False,0
2087,4355566.999999771,4355567,7,15.286965354971988,5.271213448720504e-14,3.4481751782122393e-15,False,0
2091,4372278.999999771,4372279,7,15.290794941429969,5.230994531872224e-14,3.421008882735702e-15,False,0
2093,4380646.999999772,4380647,7,15.292706988338487,5.211028917547989e-14,3.407525509722812e-15,False,0
2095,4389022.999999773,4389023,7,15.29461720903025,5.19115846813298e-14,3.394108134375536e-15,False,0
2101,4414198.999999773,4414199,7,15.300336948606718,5.132112689435522e-14,3.354248149353891e-15,False,0
2105,4431022.999999775,4431023,7,15.304141040869977,5.093214787921476e-14,3.327997810736283e-15,False,0
2107,4439446.999999775,4439447,7,15.306040377101867,5.073904033990117e-14,3.3149684104980925e-15,False,0
2109,4447878.999999775,4447879,7,15.30793791130508,5.0546847134787825e-14,3.3020023616282282e-15,False,0
2113,4464766.9999997765,4464767,7,15.311727587280457,5.016518300085776e-14,3.2762588489707794e-15,False,0
2129,4532638.99999978,4532639,7,15.326814888542955,4.867407842384806e-14,3.1757464794745175e-15,False,0
2133,4549686.99999978,4549687,7,15.33056899735207,4.830999138343912e-14,3.1512197226197657e-15,False,0
2137,4566766.999999781,4566767,7,15.334316072691761,4.794930224615615e-14,3.1269279972353574e-15,False,0
2151,4626798.999999784,4626799,7,15.347375826271213,4.671310481665464e-14,3.0437193527698916e-15,False,0
2163,4678566.999999786,4678567,7,15.358502424424842,4.568506988030428e-14,2.9745784203315644e-15,False,0
2171,4713238.999999788,4713239,7,15.36588591541999,4.5015395976650275e-14,2.9295672390406238e-15,False,0
2177,4739326.9999997895,4739327,7,15.371405700468294,4.452117835166482e-14,2.896363495910354e-15,False,0
2179,4748038.9999997895,4748039,7,15.373242248662752,4.4357947736642955e-14,2.8853996456408745e-15,False,0
2183,4765486.99999979,4765487,7,15.376910293415648,4.403372458089016e-14,2.8636262903702545e-15,False,0
