orbit_id,code,sr_block_length,inverse_class_code,self_reverse,matrix_a,matrix_b,matrix_c,matrix_d,trace,discriminant,adjoint_trace_q,geodesic_length,norm,stable_multiplier,unstable_multiplier,trace_multiplicity_within_block_cutoff
MOD-001160,1112222222112,13,1111111222122,False,-69,-47,-22,-15,84,7052,7054,8.861350090699096,7053.999858236459,0.0001417635412669268,7053.999858236459,4
MOD-001161,1112222222122,13,1111111222112,False,-72,-25,-23,-8,80,6396,6398,8.763740696080134,6397.999843701153,0.0001562988472068349,6397.999843701153,12
MOD-001162,1112222222212,13,1111111122212,False,-53,-28,-17,-9,62,3840,3842,8.253748275582243,3841.999739718879,0.00026028112122495104,3841.999739718879,16
MOD-001163,1112222222222,13,1111111111222,False,-31,-3,-10,-1,32,1020,1022,6.929515813351726,1021.999021525482,0.0009784745180160298,1021.999021525482,4
MOD-001164,1121121121122,13,1122122122122,False,-265,-112,-97,-41,306,93632,93634,11.447148844256338,93633.99998932012,1.067988124093876e-05,93633.99998932012,14
MOD-001165,1121121121212,13,1212122122122,False,-295,-183,-108,-67,362,131040,131042,11.783273161427454,131041.99999236886,7.631141161293587e-06,131041.99999236886,24
MOD-001166,1121121121222,13,1112122122122,False,-254,-71,-93,-26,280,78396,78398,11.269553695646326,78397.99998724458,1.2755427436448644e-05,78397.99998724458,12
MOD-001167,1121121122122,13,1121122122122,False,-273,-101,-100,-37,310,96096,96098,11.473123782979005,96097.99998959395,1.040604383138344e-05,96097.99998959395,18
MOD-001168,1121121122212,13,1112212212212,False,-232,-131,-85,-48,280,78396,78398,11.269553695646326,78397.99998724458,1.2755427436448644e-05,78397.99998724458,12
MOD-001169,1121121122222,13,1111122122122,False,-161,-30,-59,-11,172,29580,29582,10.294921346088582,29581.99996619566,3.3804340515946634e-05,29581.99996619566,10
MOD-001170,1121121211212,13,1212212122122,False,-297,-188,-109,-69,366,133952,133954,11.805251736359931,133953.99999253475,7.4652492650889855e-06,133953.99999253475,18
MOD-001171,1121121211222,13,1112212122122,False,-267,-79,-98,-29,296,87612,87614,11.380696081376376,87613.99998858629,1.1413701008175321e-05,87613.99998858629,16
MOD-001172,1121121212122,13,1121212122122,False,-335,-128,-123,-47,382,145920,145922,11.890827511307618,145921.99999314704,6.852976247906164e-06,145921.99999314704,16
MOD-001173,1121121212212,13,1121212212212,False,-305,-177,-112,-65,370,136896,136898,11.826991401912668,136897.9999926953,7.304708615563111e-06,136897.9999926953,28
MOD-001174,1121121212222,13,1111212122122,False,-226,-49,-83,-18,244,59532,59534,10.99430285661987,59533.99998320288,1.6797124337053506e-05,59533.99998320288,22
MOD-001175,1121121221122,13,1121221221122,False,-283,-117,-104,-43,326,106272,106274,11.573775943543486,106273.99999059035,9.409639235264894e-06,106273.99999059035,20
