form,index,window,target,predicted,residual,percent_error
Q,27,train,94.6513,100.3638159229433,5.712515922943297,6.035327484084525
Q,28,train,95.8706,100.82778220020661,4.957182200206617,5.170701132783791
Q,29,train,98.8311,101.25043175801616,2.419331758016156,2.4479457964306337
Q,30,train,101.3178,104.63354198460486,3.3157419846048555,3.2726154580980396
Q,31,train,103.7255,104.76244720245465,1.0369472024546553,0.9997032575930271
Q,32,train,105.4466,108.50671561870811,3.06011561870811,2.902052431001199
Q,33,train,107.1686,108.81490136797782,1.6463013679778271,1.5361788508740686
Q,34,train,111.0295,114.32786366476279,3.298363664762789,2.970709284255796
Q,35,train,111.8746,116.01265576401617,4.138055764016173,3.698834019532738
Q,36,train,114.3202,116.12093806233895,1.8007380623389508,1.5751704968491578
Q,37,train,116.2266,116.94550138304805,0.7189013830480491,0.6185342968374271
Q,38,train,118.7907,119.76854017923581,0.9778401792358125,0.8231622334373082
Q,39,train,121.3701,121.7160612441361,0.34596124413610596,0.28504651815900783
Q,40,train,122.9468,123.32379663005075,0.3769966300507548,0.3066339506605742
Q,41,train,124.2568,124.10428770829643,-0.15251229170357306,0.12273959389230453
Q,42,train,127.5166,125.96821379560068,-1.5483862043993213,1.2142624602595438
Q,43,train,129.5787,130.06947118832971,0.4907711883297168,0.37874371970834464
Q,44,train,131.0876,132.12324293396637,1.0356429339663578,0.790038824394037
Q,45,train,133.4977,132.31721810438998,-1.1804818956100291,0.8842713362177993
Q,46,train,134.7565,136.16767307917092,1.4111730791709363,1.0472022345274152
Q,47,train,138.116,137.7334361779492,-0.38256382205082673,0.2769873309760105
Q,48,train,139.7362,141.21478590614822,1.4785859061482256,1.0581266029477154
Q,49,train,141.1237,141.4746105813084,0.3509105813083977,0.24865460678000764
Q,50,train,143.1118,143.4549599398659,0.3431599398658989,0.23978451802429912
Q,51,train,146.0009,147.4674426196598,1.4665426196598048,1.0044750543728187
Q,52,train,147.4427,147.85084240534883,0.4081424053488263,0.27681425078951094
Q,53,train,150.0515,148.58944985411188,-1.4620501458881279,0.9743655650814073
Q,54,train,150.9252,151.98174718099654,1.0565471809965459,0.7000468980637733
Q,55,train,153.0246,153.68283330156015,0.6582333015601591,0.4301486829961713
Q,56,train,156.1129,158.30526177945347,2.1923617794534778,1.4043437662444793
Q,57,train,157.5975,160.40266079771126,2.8051607977112667,1.7799525993186864
Q,58,train,158.8499,161.14213709482223,2.292237094822241,1.4430207981385201
Q,59,train,161.1889,162.08965852645434,0.9007585264543536,0.5588216846534431
Q,60,train,163.0306,165.37332760200258,2.342727602002583,1.4369864319965595
Q,61,train,165.5373,170.16658291773814,4.629282917738152,2.796519526256712
Q,62,train,167.1844,170.22696866058854,3.042568660588529,1.8198878965911465
Q,63,train,169.0945,170.44253913121818,1.3480391312181723,0.7972105131853326
Q,64,train,169.9119,170.58693118670297,0.6750311867029666,0.39728305474952996
Q,65,train,173.4115,171.14590841906065,-2.2655915809393434,1.3064828923914178
Q,66,train,174.7541,172.57855212204174,-2.1755478779582518,1.2449195057273346
Q,67,train,176.4414,175.2846579459243,-1.1567420540756927,0.6555955994883813
Q,68,train,178.3774,180.4567342257517,2.079334225751694,1.165693762635678
Q,69,train,179.9164,184.0463515850587,4.129951585058677,2.2954836718935443
Q,70,train,182.207,186.03083015270312,3.823830152703124,2.098618687922596
Q,71,train,184.8744,186.48511289933023,1.610712899330224,0.8712471274174379
Q,72,train,185.9589,186.57371495011802,0.6148149501180171,0.3306187281802684
Q,73,train,187.2289,186.91735243778837,-0.3115475622116435,0.16639929103447357
Q,74,train,189.4161,187.128782388348,-2.287317611652014,1.207562404490439
Q,75,train,192.0266,187.69286072361362,-4.333739276386382,2.256843206298701
Q,76,train,193.0797,188.12395653326632,-4.955743466733679,2.5666828085674873
Q,77,train,195.2658,189.035423430524,-6.230376569476022,3.190715716462392
Q,78,train,196.8764,189.8364919729626,-7.039908027037399,3.575800871530259
Q,79,train,198.0153,190.4755333443709,-7.5397666556291085,3.807668728441241
Q,80,train,201.2647,191.6925901286054,-9.572109871394616,4.75598049304951
Q,81,train,202.4935,194.04078037243147,-8.452719627568541,4.174316522539509
Q,82,train,204.1896,194.65411658406154,-9.535483415938472,4.669916301289817
Q,83,train,205.3946,198.0976965764925,-7.296903423507501,3.5526267114653947
Q,84,train,207.9062,201.93792173742673,-5.968278262573278,2.870659106160989
Q,85,train,209.5765,202.45663085270854,-7.1198691472914675,3.3972650308080663
Q,86,train,211.3289,205.2221572775552,-6.106742722444807,2.8896865135079994
Q,87,train,213.3479,206.5180231161906,-6.829876883809419,3.2012862014622216
Q,88,train,214.547,213.49127296281284,-1.0557270371871539,0.49207261680990827
Q,89,train,216.1695,213.88878591032605,-2.2807140896739497,1.0550582249919391
Q,90,train,219.0675,215.57248701566343,-3.4950129843365687,1.5954046055834703
Q,91,train,220.7149,217.44962604868934,-3.265273951310661,1.4794080287786013
Q,92,train,221.3952,219.8848057948969,-1.510394205103097,0.682216328584855
Q,93,train,224.007,220.61259258874847,-3.3944074112515352,1.5153130979172682
Q,94,train,224.9833,220.79488108554781,-4.1884189144522,1.8616576939053697
Q,95,train,227.4214,228.67319031246873,1.251790312468728,0.5504276697218151
Q,96,train,229.3374,229.1367587944184,-0.20064120558160425,0.08748734640821962
Q,97,train,231.2882,229.3477108684589,-1.940489131541085,0.8389918428787483
Q,98,train,231.9872,229.47813059755785,-2.509069402442151,1.081555104092877
Q,99,train,233.6934,229.92244858263572,-3.770951417364273,1.6136319713625944
Q,100,train,236.5242,232.6385984271674,-3.8856015728325985,1.6427923962252482
Q,101,development,237.7698204809252,235.18292580795074,-2.5868946729744664,1.0879827674269522
Q,102,development,239.55547757332764,235.43141374645245,-4.124063826875187,1.7215485400924784
Q,103,development,241.04915779621658,237.73597784044446,-3.3131799557721138,1.3744831079530602
