case_id,length,extended_signs,iterations,fixed_point_increment,recurrence_residual,minimum_disk_margin,crossed_residual,float64_forward_crossed_residual,left_bound_ratio,right_bound_ratio,endpoint_formula_error,endpoint_reciprocity_error,theta_monodromy_error,projective_initial_ratio,projective_left_ratio,projective_right_ratio
N8:-++---+---,8,-++---+---,19,1.5654144647214707e-14,2.936539900133539e-14,0.0638175108500956,4.262891439435135e-81,1.1771135177696124e-09,0.43615442529066756,0.3247827472778326,1.1102230246251565e-16,2.117582368135751e-22,0.0,0.0004895707995459753,0.00010898002537147622,0.08748727177292656
N8:-++---+--+,8,-++---+--+,19,6.039613253960852e-14,5.773159728050814e-14,0.04103273525244441,1.8622465528086057e-82,3.74717074036468e-09,0.43615562805603275,0.48037628342178873,5.551115123125783e-17,4.235164736271502e-22,0.0,0.001295215107381007,0.00037235347369007216,0.28373605885217495
N8:-++---++--,8,-++---++--,19,6.84452494681409e-14,7.37188088351104e-14,0.06610171145035951,8.634518978672801e-82,7.068027219059303e-09,0.43618430330535285,0.4023125489124474,8.326672684688674e-17,2.117582368135751e-22,0.0,0.001291457265640963,0.0002531598890616748,0.1634730497091594
N8:-++--+----,8,-++--+----,19,2.864375403532904e-14,2.892130979148533e-14,0.039550346575605105,8.966260373363275e-82,2.868002002553993e-09,0.43486568381551816,0.3087313996320891,8.326672684688674e-17,0.0,0.0,0.0005834159567022795,0.00010061256938160097,0.0748226318053925
N8:-++--+---+,8,-++--+---+,20,6.250555628639631e-14,1.0075273948473296e-13,0.04461111530664133,8.451727122004064e-82,1.4714562346362925e-09,0.43486694646477136,0.4314899320010135,5.551115123125783e-17,4.235164736271502e-22,0.0,0.0012783432625519235,0.00028064446082728094,0.20436713587641123
N8:-++--+--+-,8,-++--+--+-,20,2.8255175976710234e-14,4.668487818548783e-14,0.03559654183817704,3.2765909811576334e-81,9.646631826676355e-10,0.43487687700866756,0.30781141912064514,5.551115123125783e-17,8.470329472543003e-22,0.0,0.0018553574421228379,8.027823640097774e-05,0.07491225448854848
N8:-++--+--++,8,-++--+--++,20,4.907185768843192e-14,7.527312106958561e-14,0.04563856039460726,1.0249810163403699e-81,3.0588748201054727e-10,0.4348748194294957,0.43065199621257916,2.7755575615628914e-17,4.235164736271502e-22,0.0,0.00284837079652889,0.00026353197623065123,0.2044412645721976
N8:-++--++---,8,-++--++---,21,7.432943149865423e-14,1.0813572259849025e-13,0.059740852147410345,6.492780327059895e-82,2.8105633931296836e-09,0.4351002116672165,0.3216771472982336,2.7755575615628914e-17,4.235164736271502e-22,0.0,0.001606386470637245,0.0001923022908609241,0.08486903520078416
N8:-++--++--+,8,-++--++--+,21,3.197442310920451e-14,3.907985046680551e-14,0.059532799255813756,2.1562438402331694e-81,1.1719142323229903e-10,0.4350980470568168,0.46998636251225584,6.938893903907228e-18,0.0,0.0,0.004096082590458947,0.000627396919121326,0.2650892596150982
N8:+---------,8,+---------,22,7.815970093361102e-14,1.5065726444163374e-13,0.017494916363492125,3.1386644902598684e-80,6.435391725068129e-08,0.4247282835291933,0.3062687727452795,2.7755575615628914e-17,1.3234889800848443e-22,0.0,2.0232371972191434e-05,1.7894192657851212e-05,0.0730082544896442
N8:+--------+,8,+--------+,22,7.482903185973555e-14,1.482147737874584e-13,0.017946519273338152,2.960449719202351e-80,5.0399295237202324e-08,0.4247285763210012,0.4247285763210012,5.551115123125783e-17,5.293955920339377e-23,0.0,4.265884315678186e-05,4.8461069359462607e-05,0.1947826314723823
N8:+-------+-,8,+-------+-,22,6.339373470609644e-14,1.1879386363489175e-13,0.018426889815784026,2.3278408286744534e-80,2.8461264622858806e-08,0.42473080154092335,0.3056833045142078,2.7755575615628914e-17,1.0587911840678754e-22,0.0,4.961891860158665e-05,1.6096547995697685e-05,0.07304738331461264
N8:+-------++,8,+-------++,22,6.59472476627343e-14,1.2045919817182948e-13,0.018334306413194473,9.51743804795438e-81,2.1908260816605463e-08,0.42473037263610824,0.42417998236133403,8.326672684688674e-17,5.293955920339377e-23,0.0,8.0263201875021e-05,4.686401444853478e-05,0.19481692428968145
N8:+------+--,8,+------+--,22,4.340972026284362e-14,7.538414337204813e-14,0.02150699975471329,1.9756048959025457e-80,1.5640358064228366e-08,0.42474624548576434,0.4357719785069096,5.551115123125783e-17,1.0587911840678754e-22,0.0,0.0001101177604460689,7.772114595975657e-05,0.20904432802560555
N8:+------++-,8,+------++-,22,2.986499936241671e-14,5.2735593669694936e-14,0.02119545535286152,1.3007702411916293e-80,1.0546877982076097e-08,0.4247436333262405,0.43635742225207713,2.7755575615628914e-17,2.117582368135751e-22,0.0,0.0001662173979443338,7.592488343033805e-05,0.20900519922413058
N8:+-----+---,8,+-----+---,22,3.241851231905457e-14,5.6288307348495437e-14,0.02488088586218498,3.2080143185880152e-80,6.589322143479848e-09,0.4248573818554361,0.3247996848032765,2.7755575615628914e-17,0.0,0.0,0.00012116643631563972,5.424715551172972e-05,0.08750171879023308
